game_id,date,opponent,location,team_score,opp_score,record
223262181,2002-11-22,Florida Atlantic,H,74,62,1-0 (0-0)
223302181,2002-11-26,Iowa,H,49,50,1-1 (0-0)
223332267,2002-11-30,Hawaii Hilo,A,70,50,2-1 (0-0)
223342181,2002-11-30,Utah State,H,61,73,2-2 (0-0)
223350261,2002-12-01,Vermont,A,83,78,3-2 (0-0)
223382459,2002-12-04,Northern Illinois,A,62,77,3-3 (0-0)
223422117,2002-12-08,Central Michigan,A,61,73,3-4 (0-0)
223452181,2002-12-11,Grinnell,H,162,110,4-4 (0-0)
223482181,2002-12-14,Western Illinois,H,72,62,5-4 (0-0)
223560066,2002-12-22,Iowa State,A,55,76,5-5 (0-0)
223632172,2002-12-29,Denver,A,62,87,5-6 (0-0)
230020079,2003-01-02,Southern Illinois,A,63,76,5-7 (0-1)
230050156,2003-01-05,Creighton,A,63,84,5-8 (0-2)
230082181,2003-01-08,Missouri State,H,72,74,5-9 (0-3)
230122181,2003-01-12,Northern Iowa,H,75,73,6-9 (1-3)
230150071,2003-01-15,Bradley,A,57,72,6-10 (1-4)
230182181,2003-01-18,Indiana State,H,68,54,7-10 (2-4)
230212724,2003-01-21,Wichita State,A,61,69,7-11 (2-5)
230282623,2003-01-28,Missouri State,A,45,65,7-12 (2-6)
230322181,2003-02-01,Creighton,H,68,88,7-13 (2-7)
230372181,2003-02-06,Southern Illinois,H,64,65,7-14 (2-8)
230392181,2003-02-08,Evansville,H,51,62,7-15 (2-9)
230430282,2003-02-12,Indiana State,A,62,63,7-16 (2-10)
230462287,2003-02-15,Illinois State,A,59,48,8-16 (3-10)
230502181,2003-02-19,Wichita State,H,70,80,8-17 (3-11)
230530339,2003-02-22,Evansville,A,81,73,9-17 (4-11)
230572181,2003-02-26,Illinois State,H,70,63,10-17 (5-11)
230602460,2003-03-01,Northern Iowa,A,48,59,10-18 (5-12)
230622181,2003-03-03,Bradley,H,67,77,10-19 (5-13)
230662181,2003-03-07,Illinois State,H,62,63,10-20 (5-13)
