game_id,date,opponent,location,team_score,opp_score,record
233220059,2003-11-18,Louisiana,H,79,45,1-0 (0-0)
233240059,2003-11-20,Hofstra,H,75,56,2-0 (0-0)
233270172,2003-11-23,Cornell,A,90,69,3-0 (0-0)
233300041,2003-11-26,UConn,A,77,61,4-0 (0-0)
233320059,2003-11-28,Texas Tech,H,85,65,5-0 (0-0)
233370194,2003-12-03,Ohio State,A,73,53,6-0 (0-0)
233400059,2003-12-06,Tennessee State,H,94,43,7-0 (0-0)
233470059,2003-12-13,Saint Louis,H,75,62,8-0 (0-0)
233510059,2003-12-17,Alabama A&M,H,74,41,9-0 (0-0)
233550059,2003-12-21,St. John's,H,79,66,10-0 (0-0)
233570059,2003-12-23,Marist,H,90,40,11-0 (0-0)
233630059,2003-12-29,VCU,H,86,65,12-0 (0-0)
240030061,2004-01-03,Georgia,A,80,83,12-1 (0-0)
240110153,2004-01-11,North Carolina,A,88,103,12-2 (0-1)
240150059,2004-01-15,Virginia,H,75,57,13-2 (1-1)
240170059,2004-01-17,Maryland,H,81,71,14-2 (2-1)
240200154,2004-01-20,Wake Forest,A,73,66,15-2 (3-1)
240240152,2004-01-24,NC State,A,72,76,15-3 (3-2)
240270059,2004-01-27,Clemson,H,76,69,16-3 (4-2)
240310059,2004-01-31,Duke,H,74,82,16-4 (4-3)
240340052,2004-02-03,Florida State,A,65,81,16-5 (4-4)
240382633,2004-02-07,Tennessee,A,77,62,17-5 (4-4)
240410059,2004-02-10,North Carolina,H,88,77,18-5 (5-4)
240450258,2004-02-14,Virginia,A,80,82,18-6 (5-5)
240500120,2004-02-19,Maryland,A,75,64,19-6 (6-5)
240530059,2004-02-22,Wake Forest,H,76,80,19-7 (6-6)
240560059,2004-02-25,NC State,H,69,79,19-8 (6-7)
240590228,2004-02-28,Clemson,A,79,60,20-8 (7-7)
240630150,2004-03-03,Duke,A,76,68,21-8 (8-7)
240660059,2004-03-06,Florida State,H,63,60,22-8 (9-7)
240720059,2004-03-12,North Carolina,H,83,82,23-8 (9-7)
240730150,2004-03-13,Duke,A,71,85,23-9 (9-7)
244000055,2004-03-19,Northern Iowa,H,65,60,24-9 (9-7)
244000056,2004-03-21,Boston College,H,57,54,25-9 (9-7)
244000060,2004-03-26,Nevada,H,72,67,26-9 (9-7)
244000061,2004-03-28,Kansas,H,79,71,27-9 (9-7)
244000031,2004-04-03,Oklahoma State,A,67,65,24-9 (9-7)
244000063,2004-04-05,UConn,A,73,82,28-10 (9-7)
