game_id,date,opponent,location,team_score,opp_score,record
233252390,2003-11-21,Lubbock Christian,H,86,66,1-0 (0-0)
233272390,2003-11-23,UL Monroe,H,78,60,2-0 (0-0)
233292390,2003-11-25,Rhode Island,H,53,54,2-1 (0-0)
233302390,2003-11-26,Bradley,H,82,83,2-2 (0-0)
233362390,2003-12-02,Stetson,H,91,70,3-2 (0-0)
233402390,2003-12-06,Florida International,H,89,72,4-2 (0-0)
233432390,2003-12-09,UMBC,H,61,52,5-2 (0-0)
233482390,2003-12-14,Florida State,H,58,67,5-3 (0-0)
233542390,2003-12-20,Temple,H,72,66,6-3 (0-0)
233562390,2003-12-22,North Carolina A&T,H,81,62,7-3 (0-0)
233612390,2003-12-27,Florida Atlantic,H,76,51,8-3 (0-0)
233642390,2003-12-30,Purdue Fort Wayne,H,75,52,9-3 (0-0)
240032390,2004-01-03,Savannah St,H,105,65,10-3 (0-0)
240070153,2004-01-07,North Carolina,A,64,89,10-4 (0-0)
240102390,2004-01-10,Pittsburgh,H,80,84,10-5 (0-1)
240142599,2004-01-14,St. John's,A,70,64,11-5 (1-1)
240170259,2004-01-17,Virginia Tech,A,65,59,12-5 (2-1)
240212390,2004-01-21,Rutgers,H,73,63,13-5 (3-1)
240252390,2004-01-25,Villanova,H,69,76,13-6 (3-2)
240280087,2004-01-28,Notre Dame,A,62,72,13-7 (3-3)
240312390,2004-01-31,Georgetown,H,80,87,13-8 (3-4)
240350164,2004-02-04,Rutgers,A,70,72,13-9 (3-5)
240380046,2004-02-07,Georgetown,A,64,80,13-10 (3-6)
240422390,2004-02-11,Boston College,H,72,74,13-11 (3-7)
240452390,2004-02-14,Syracuse,H,74,91,13-12 (3-8)
240490041,2004-02-18,UConn,A,63,76,13-13 (3-9)
240522507,2004-02-21,Providence,A,57,70,13-14 (3-10)
240552390,2004-02-24,Seton Hall,H,66,76,13-15 (3-11)
240620222,2004-03-02,Villanova,A,59,56,14-15 (4-11)
240662390,2004-03-06,West Virginia,H,53,58,14-16 (4-12)
