player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Williams,F,21,3,5,0,0,2,2,3,7,10,1,2,1,5,5,8,TRUE,2005-02-26,St. John's,A
S. Randolph,F,24,0,2,0,0,2,4,1,5,6,0,2,0,1,2,2,TRUE,2005-02-26,St. John's,A
R. Love,F,15,1,1,0,0,1,2,3,0,3,1,3,0,0,2,3,TRUE,2005-02-26,St. John's,A
J. Redick,G,32,2,11,1,7,8,8,0,2,2,2,1,0,5,2,13,TRUE,2005-02-26,St. John's,A
D. Ewing,G,40,3,13,1,6,2,2,2,1,3,3,1,0,3,2,9,TRUE,2005-02-26,St. John's,A
L. Melchionni,F,35,5,13,4,9,2,2,3,6,9,1,1,0,3,2,16,FALSE,2005-02-26,St. John's,A
D. McClure,F,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4,FALSE,2005-02-26,St. John's,A
P. JohnsonP,C,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,FALSE,2005-02-26,St. John's,A
P. Davidson,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2005-02-26,St. John's,A
D. Nelson,G,23,0,4,0,1,3,6,3,1,4,1,1,0,3,0,3,FALSE,2005-02-26,St. John's,A
TEAM,NA,NA,16,51,6,23,20,27,15,25,40,10,11,1,23,16,58,FALSE,2005-02-26,St. John's,A
