player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Reed,F,27,5,8,0,0,0,0,3,4,7,1,3,0,4,4,10,TRUE,2004-12-30,Memphis,A
B. Rhoda,G,11,1,2,0,1,0,0,0,2,2,0,1,0,0,0,2,TRUE,2004-12-30,Memphis,A
T. Smith,G,38,7,19,2,7,2,4,1,1,2,2,3,0,2,2,18,TRUE,2004-12-30,Memphis,A
S. Oatman,G,28,3,5,1,3,0,0,1,2,3,5,2,0,0,2,7,TRUE,2004-12-30,Memphis,A
T. Strong,G,33,2,12,1,8,1,2,0,2,2,4,0,0,2,3,6,TRUE,2004-12-30,Memphis,A
D. Sneed,F,14,1,3,0,0,2,2,1,2,3,0,0,1,0,3,4,FALSE,2004-12-30,Memphis,A
G. Surmacz,F,10,1,4,0,1,0,0,0,1,1,0,1,0,0,1,2,FALSE,2004-12-30,Memphis,A
A. ScottA,F,10,0,1,0,0,0,0,1,1,2,1,0,1,3,3,0,FALSE,2004-12-30,Memphis,A
J. Anthony,G,29,2,9,1,3,2,2,2,1,3,2,1,0,3,2,7,FALSE,2004-12-30,Memphis,A
TEAM,NA,NA,22,63,5,23,7,10,10,17,27,15,11,2,14,20,56,FALSE,2004-12-30,Memphis,A
