player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Wyatt,F,30,3,8,1,4,0,0,0,1,1,1,2,1,0,2,7,TRUE,2004-12-07,Buffalo,H
C. Chalko,F,21,1,6,1,4,0,0,0,0,0,0,2,0,1,2,3,TRUE,2004-12-07,Buffalo,H
S. Harris,F,28,2,5,0,0,1,3,2,5,7,0,1,0,2,3,5,TRUE,2004-12-07,Buffalo,H
L. JordanL,F,25,1,6,0,0,1,4,2,1,3,0,2,1,0,3,3,TRUE,2004-12-07,Buffalo,H
R. Gamble,C,11,3,5,0,0,1,2,2,1,3,0,1,0,0,1,7,TRUE,2004-12-07,Buffalo,H
S. Harvin,G,30,1,6,1,3,0,0,0,1,1,2,1,0,2,0,3,FALSE,2004-12-07,Buffalo,H
S. Rice,G,35,5,13,0,5,4,4,2,2,4,3,2,1,3,1,14,FALSE,2004-12-07,Buffalo,H
M. Watson,G,31,6,13,2,5,5,6,1,5,6,6,3,0,5,1,19,FALSE,2004-12-07,Buffalo,H
B. Waters,G,14,1,1,0,0,0,1,0,0,0,0,1,0,1,3,2,FALSE,2004-12-07,Buffalo,H
TEAM,NA,NA,23,63,5,21,12,20,11,19,30,12,15,3,14,16,63,FALSE,2004-12-07,Buffalo,H
