player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Prince,F,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,TRUE,2004-12-11,Savannah St,H
A. Cool,F,21,1,4,0,3,2,3,2,3,5,2,0,0,0,0,4,TRUE,2004-12-11,Savannah St,H
J. Robinson,F,20,4,6,1,1,2,4,0,1,1,2,3,0,0,4,11,TRUE,2004-12-11,Savannah St,H
M. Brown,F,23,4,6,0,0,0,1,2,4,6,2,0,2,0,4,8,TRUE,2004-12-11,Savannah St,H
B. Larson,F,10,0,1,0,0,0,0,1,2,3,0,0,0,1,2,0,TRUE,2004-12-11,Savannah St,H
L. Vrcelj,C,25,3,6,0,0,2,5,5,3,8,2,1,1,1,5,8,FALSE,2004-12-11,Savannah St,H
D. Lee,G,31,7,16,2,6,2,4,2,4,6,0,2,0,3,2,18,FALSE,2004-12-11,Savannah St,H
M. Kampfe,G,8,1,3,0,1,2,2,1,0,1,1,0,0,0,3,4,FALSE,2004-12-11,Savannah St,H
J. Kimbrough,G,32,5,11,0,0,7,7,3,4,7,7,0,0,5,2,17,FALSE,2004-12-11,Savannah St,H
B. Surry,G,24,3,9,2,4,3,3,2,0,2,1,0,0,4,1,11,FALSE,2004-12-11,Savannah St,H
M. Luback,G,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,FALSE,2004-12-11,Savannah St,H
S. Hudson,G,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,FALSE,2004-12-11,Savannah St,H
TEAM,NA,NA,29,63,5,15,21,31,19,22,41,17,6,3,17,23,84,FALSE,2004-12-11,Savannah St,H
