player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Carney,F,37,4,18,0,5,3,4,4,4,8,1,3,0,2,3,11,TRUE,2004-12-07,Pittsburgh,A
S. Banks,F,36,7,19,3,9,1,3,0,5,5,2,3,1,4,2,18,TRUE,2004-12-07,Pittsburgh,A
J. Dorsey,F,21,3,7,0,0,0,1,3,4,7,2,1,1,1,5,6,TRUE,2004-12-07,Pittsburgh,A
D. Washington Jr.,G,38,2,10,0,2,3,5,1,1,2,1,3,0,4,4,7,TRUE,2004-12-07,Pittsburgh,A
A. Rice,G,27,0,1,0,0,1,2,0,2,2,4,0,0,1,5,1,TRUE,2004-12-07,Pittsburgh,A
S. Njoya,F,6,1,1,0,0,0,0,0,0,0,0,1,0,1,4,2,FALSE,2004-12-07,Pittsburgh,A
D. Erwin,F,14,1,4,0,0,2,2,1,1,2,0,0,2,0,4,4,FALSE,2004-12-07,Pittsburgh,A
A. ThieroA,C,10,1,2,0,0,0,0,2,0,2,0,0,1,0,1,2,FALSE,2004-12-07,Pittsburgh,A
T. Beavers,G,11,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,2004-12-07,Pittsburgh,A
TEAM,NA,NA,19,62,3,16,10,17,14,21,35,10,11,5,14,28,51,FALSE,2004-12-07,Pittsburgh,A
