player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Wright,F,30,3,7,0,0,3,4,6,3,9,0,1,0,1,3,9,TRUE,2004-12-30,Manhattan,A
A. Tigert,F,37,2,2,0,0,2,3,3,6,9,2,2,1,2,2,6,TRUE,2004-12-30,Manhattan,A
J. Tucker,F,34,3,13,0,2,5,6,2,1,3,2,1,0,3,4,11,TRUE,2004-12-30,Manhattan,A
N. Hansen,F,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,2004-12-30,Manhattan,A
D. Ford,C,11,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,TRUE,2004-12-30,Manhattan,A
E. McCants,G,36,6,13,2,3,7,8,1,1,2,1,1,1,1,2,21,FALSE,2004-12-30,Manhattan,A
C. Hill,G,38,4,9,0,3,9,10,0,2,2,2,0,0,2,3,17,FALSE,2004-12-30,Manhattan,A
M. Pancratz,G,11,0,2,0,1,2,2,1,3,4,0,0,0,0,4,2,FALSE,2004-12-30,Manhattan,A
B. Davis,G,23,6,13,3,7,7,7,0,2,2,1,3,0,1,1,22,FALSE,2004-12-30,Manhattan,A
TEAM,NA,NA,24,60,5,16,35,40,16,21,37,9,8,2,11,20,88,FALSE,2004-12-30,Manhattan,A
