player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Collins,F,36,7,13,0,0,0,0,6,9,15,2,1,1,0,1,14,TRUE,2005-03-05,Maryland,H
C. DixonC,F,37,7,10,2,2,4,6,1,4,5,1,2,0,5,2,20,TRUE,2005-03-05,Maryland,H
D. WashingtonD,F,34,4,8,0,0,4,7,6,2,8,2,1,2,1,3,12,TRUE,2005-03-05,Maryland,H
Z. Dowdell,G,39,4,15,2,7,3,4,2,1,3,4,3,0,3,1,13,TRUE,2005-03-05,Maryland,H
J. Gordon,G,34,8,17,3,4,4,6,1,5,6,3,1,2,2,4,23,TRUE,2005-03-05,Maryland,H
C. Tucker,F,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2005-03-05,Maryland,H
J. King,F,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2005-03-05,Maryland,H
R. KrabbendamR,C,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2005-03-05,Maryland,H
S. Harris,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2005-03-05,Maryland,H
M. Cooke,G,15,1,4,0,1,0,0,0,2,2,2,0,0,0,2,2,FALSE,2005-03-05,Maryland,H
TEAM,NA,NA,32,70,7,14,15,23,19,26,45,14,8,5,12,14,86,FALSE,2005-03-05,Maryland,H
