game_id,date,opponent,location,team_score,opp_score,record
243240116,2004-11-19,Mt. St. Mary's,A,66,65,1-0 (0-0)
243250171,2004-11-20,Columbia,A,58,76,1-1 (0-0)
243282413,2004-11-23,Kentucky Christian,H,89,67,2-1 (0-0)
243362413,2004-12-01,Asbury,H,54,34,3-1 (0-0)
243392413,2004-12-04,Purdue Fort Wayne,H,64,52,4-1 (0-0)
243430096,2004-12-08,Kentucky,A,40,71,4-2 (0-0)
243462379,2004-12-11,Maryland-Eastern Shore,A,62,45,5-2 (0-0)
243540194,2004-12-19,Ohio State,A,48,74,5-3 (0-0)
243562413,2004-12-21,Taylor University,H,73,58,6-3 (0-0)
243620097,2004-12-27,Louisville,A,40,104,6-4 (0-0)
243652413,2004-12-30,George Mason,H,65,76,6-5 (0-0)
250060093,2005-01-06,Murray State,A,61,83,6-6 (0-1)
250082630,2005-01-08,UT Martin,A,81,73,7-6 (1-1)
250132635,2005-01-13,Tennessee Tech,A,40,63,7-7 (1-2)
250152046,2005-01-15,Austin Peay,A,65,69,7-8 (1-3)
250202413,2005-01-20,Samford,H,51,56,7-9 (1-4)
250222413,2005-01-22,Jacksonville State,H,69,63,8-9 (2-4)
250272413,2005-01-27,UT Martin,H,75,69,9-9 (3-4)
250292413,2005-01-29,Murray State,H,64,83,9-10 (3-5)
250322198,2005-02-01,Eastern Kentucky,A,69,83,9-11 (3-6)
250362634,2005-02-05,Tennessee State,A,65,100,9-12 (3-7)
250410055,2005-02-10,Jacksonville State,A,76,66,10-12 (4-7)
250432535,2005-02-12,Samford,A,44,73,10-13 (4-8)
250482413,2005-02-17,Eastern Illinois,H,71,73,10-14 (4-9)
250502413,2005-02-19,SE Missouri St,H,88,66,11-14 (5-9)
250532413,2005-02-22,Eastern Kentucky,H,61,69,11-15 (5-10)
250572413,2005-02-26,Tennessee Tech,H,67,74,11-16 (5-11)
