game_id,date,opponent,location,team_score,opp_score,record
243240238,2004-11-19,Toledo,H,73,57,1-0 (0-0)
243260238,2004-11-21,Tennessee State,H,87,65,2-0 (0-0)
243282463,2004-11-23,CSU Northridge,A,93,75,3-0 (0-0)
243310238,2004-11-26,Southern Illinois,H,53,67,3-1 (0-0)
243320009,2004-11-27,Arizona State,A,68,87,3-2 (0-0)
243360238,2004-12-01,Austin Peay,H,74,58,4-2 (0-0)
243392483,2004-12-04,Oregon,A,65,75,4-3 (0-0)
243442132,2004-12-09,Cincinnati,A,72,88,4-4 (0-0)
243530238,2004-12-18,TCU,H,78,55,5-4 (0-0)
243550238,2004-12-20,Central Michigan,H,86,54,6-4 (0-0)
243570238,2004-12-22,Appalachian State,H,68,51,7-4 (0-0)
243640238,2004-12-29,Dayton,H,90,74,8-4 (0-0)
250020238,2005-01-02,Louisiana,H,71,44,9-4 (0-0)
250050238,2005-01-05,Alabama,H,70,56,10-4 (1-0)
250082633,2005-01-08,Tennessee,A,88,63,11-4 (2-0)
250120096,2005-01-12,Kentucky,A,54,69,11-5 (2-1)
250150238,2005-01-15,Florida,H,65,82,11-6 (2-2)
250220061,2005-01-22,Georgia,A,59,68,11-7 (2-3)
250262579,2005-01-26,South Carolina,A,63,68,11-8 (2-4)
250290238,2005-01-29,Ole Miss,H,73,51,12-8 (3-4)
250330238,2005-02-02,Tennessee,H,67,62,13-8 (4-4)
250360238,2005-02-05,Kentucky,H,70,84,13-9 (4-5)
250380238,2005-02-07,UT Rio Grande Valley,H,90,54,14-9 (4-5)
250430344,2005-02-12,Mississippi State,A,54,60,14-10 (4-6)
250470002,2005-02-16,Auburn,A,67,43,15-10 (5-6)
250500238,2005-02-19,Arkansas,H,79,65,16-10 (6-6)
250540057,2005-02-23,Florida,A,61,69,16-11 (6-7)
250570238,2005-02-26,Georgia,H,65,37,17-11 (7-7)
250610238,2005-03-02,South Carolina,H,75,65,18-11 (8-7)
250640099,2005-03-05,LSU,A,69,81,18-12 (8-8)
250690238,2005-03-10,Auburn,H,73,77,18-13 (8-8)
250750084,2005-03-16,Indiana,A,67,60,19-13 (8-8)
250800238,2005-03-21,Wichita State,H,65,63,20-13 (8-8)
250820235,2005-03-23,Memphis,A,68,81,20-14 (8-8)
