player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Peterson,F,8,1,3,1,2,2,2,1,1,2,0,0,0,1,1,5,TRUE,2006-02-17,Nevada,A
R. Travis,F,24,5,13,0,0,3,6,5,3,8,1,0,0,0,2,13,TRUE,2006-02-17,Nevada,A
Q. Milum,F,14,2,3,0,0,0,0,0,1,1,0,0,2,2,1,4,TRUE,2006-02-17,Nevada,A
J. Rybak,F,11,1,2,1,2,0,0,0,2,2,0,0,0,1,1,3,TRUE,2006-02-17,Nevada,A
N. Linhart,F,24,1,5,1,1,2,2,3,3,6,0,0,1,1,3,5,TRUE,2006-02-17,Nevada,A
R. Preston,C,24,2,7,0,3,0,0,2,2,4,2,1,2,0,2,4,FALSE,2006-02-17,Nevada,A
M. Futch,C,12,2,5,1,1,2,4,3,1,4,0,0,0,0,0,7,FALSE,2006-02-17,Nevada,A
D. Joyce,G,27,3,9,1,5,2,2,0,3,3,3,0,0,4,4,9,FALSE,2006-02-17,Nevada,A
N. Dials,G,26,3,9,1,3,0,0,0,0,0,3,1,0,1,1,7,FALSE,2006-02-17,Nevada,A
C. Middleton,G,22,1,7,0,2,2,2,1,4,5,2,0,0,1,1,4,FALSE,2006-02-17,Nevada,A
N. Goddard,G,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-02-17,Nevada,A
Z. Sowers,G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-02-17,Nevada,A
C. Mraz,G,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,2006-02-17,Nevada,A
TEAM,NA,NA,21,65,6,20,13,18,18,21,39,12,2,5,11,16,61,FALSE,2006-02-17,Nevada,A
