player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Kravic,F,18,1,3,1,2,1,2,2,4,6,2,0,0,2,2,4,TRUE,2006-01-13,Princeton,A
J. Baumann,F,40,7,10,0,1,4,4,5,3,8,1,0,0,2,3,18,TRUE,2006-01-13,Princeton,A
L. Nolan,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,2006-01-13,Princeton,A
J. Miller,F,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,2006-01-13,Princeton,A
B. Nwachukwu,C,25,2,7,0,0,6,6,0,1,1,0,0,1,4,5,10,TRUE,2006-01-13,Princeton,A
D. Cuff,G,25,1,6,1,3,0,0,0,2,2,0,2,1,1,2,3,FALSE,2006-01-13,Princeton,A
B. Loscalzo,G,35,0,3,0,1,2,2,0,3,3,3,0,0,0,4,2,FALSE,2006-01-13,Princeton,A
K. Sweet,G,11,1,2,0,0,0,1,0,2,2,0,0,0,1,2,2,FALSE,2006-01-13,Princeton,A
J. Armstrong,G,20,0,5,0,1,0,1,0,2,2,0,1,0,3,1,0,FALSE,2006-01-13,Princeton,A
M. Montgomery,G,23,3,4,1,1,2,2,1,3,4,2,1,0,1,5,9,FALSE,2006-01-13,Princeton,A
K.J. Matsui,G,22,4,5,3,4,5,5,0,0,0,1,1,0,2,3,16,FALSE,2006-01-13,Princeton,A
TEAM,NA,NA,19,46,6,13,20,23,10,22,32,10,5,2,17,28,64,FALSE,2006-01-13,Princeton,A
