player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Osei,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2006-01-09,Pennsylvania,H
D. Blaine,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2006-01-09,Pennsylvania,H
M. Binns,F,30,6,10,0,0,0,0,4,4,8,0,0,0,1,3,12,TRUE,2006-01-09,Pennsylvania,H
B. Dunston,F,34,6,11,0,0,8,9,4,8,12,1,1,2,3,3,20,TRUE,2006-01-09,Pennsylvania,H
S. Greene,F,14,0,1,0,0,1,2,1,0,1,1,0,2,0,0,1,TRUE,2006-01-09,Pennsylvania,H
D. Phillips,F,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2006-01-09,Pennsylvania,H
J. Anderson,G,36,9,13,2,6,5,5,1,3,4,6,1,0,3,1,25,FALSE,2006-01-09,Pennsylvania,H
C. McCrae,G,26,3,5,3,5,3,4,1,1,2,1,1,0,3,1,12,FALSE,2006-01-09,Pennsylvania,H
N. Vita,G,18,0,1,0,0,0,0,1,1,2,2,1,0,1,2,0,FALSE,2006-01-09,Pennsylvania,H
T. Tubridy,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-01-09,Pennsylvania,H
K. Anderson,G,12,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0,FALSE,2006-01-09,Pennsylvania,H
J. Giacobbe,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-01-09,Pennsylvania,H
M. Stout,G,28,3,8,1,2,1,2,1,3,4,4,1,0,5,1,8,FALSE,2006-01-09,Pennsylvania,H
TEAM,NA,NA,27,50,6,13,18,22,13,26,39,15,5,4,19,13,78,FALSE,2006-01-09,Pennsylvania,H
