player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Dyer,F,34,5,11,1,3,1,2,3,9,12,2,1,6,3,2,12,TRUE,2006-01-28,Marshall,H
D. Brannon,F,6,2,2,0,0,0,0,1,1,2,0,0,0,0,0,4,TRUE,2006-01-28,Marshall,H
J. Thorpe,F,9,2,2,0,0,3,4,1,1,2,1,0,0,0,3,7,TRUE,2006-01-28,Marshall,H
S. Anderson,F,25,6,7,1,2,0,0,3,2,5,0,1,1,4,3,13,TRUE,2006-01-28,Marshall,H
S. de Randamie,C,5,0,0,0,0,2,2,0,0,0,0,1,2,0,1,2,TRUE,2006-01-28,Marshall,H
L. Smith,G,34,3,5,1,2,2,4,0,2,2,8,2,0,3,0,9,FALSE,2006-01-28,Marshall,H
C. Lawson,G,17,2,4,0,1,5,8,1,4,5,3,1,0,3,1,9,FALSE,2006-01-28,Marshall,H
B. Latham,G,36,3,8,2,3,0,0,0,7,7,2,2,0,6,2,8,FALSE,2006-01-28,Marshall,H
T. Martin,G,3,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0,FALSE,2006-01-28,Marshall,H
C. Bloom,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-01-28,Marshall,H
O. Lafayette,G,29,2,10,1,5,0,0,0,0,0,0,5,0,1,1,5,FALSE,2006-01-28,Marshall,H
TEAM,NA,NA,25,50,6,17,13,20,10,29,39,16,13,9,21,13,69,FALSE,2006-01-28,Marshall,H
