player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Lewis,F,18,4,4,1,1,3,5,2,0,2,0,2,0,1,2,12,TRUE,2006-02-14,Morehead State,H
D. Brown,F,22,3,3,0,0,6,9,0,3,3,0,1,4,0,4,12,TRUE,2006-02-14,Morehead State,H
H. Crow,F,13,2,4,0,0,1,1,2,0,2,1,0,1,1,4,5,TRUE,2006-02-14,Morehead State,H
C. Bradley,F,28,7,10,0,0,0,2,2,8,10,1,3,0,1,1,14,TRUE,2006-02-14,Morehead State,H
C. LumpkinC,C,12,0,1,0,0,2,4,1,2,3,0,1,0,3,2,2,TRUE,2006-02-14,Morehead State,H
W. Russell,G,30,2,7,1,5,6,6,0,4,4,5,3,0,3,1,11,FALSE,2006-02-14,Morehead State,H
A. Wilson,G,15,0,3,0,2,0,0,0,2,2,1,0,0,1,2,0,FALSE,2006-02-14,Morehead State,H
B. Peters,G,17,1,4,0,3,0,0,1,0,1,0,1,0,1,1,2,FALSE,2006-02-14,Morehead State,H
B.J. Spencer,G,31,6,14,5,11,2,2,1,6,7,0,1,1,1,0,19,FALSE,2006-02-14,Morehead State,H
J. Ketterer,G,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,2006-02-14,Morehead State,H
D. Bray,G,11,0,0,0,0,0,4,0,0,0,5,2,0,5,1,0,FALSE,2006-02-14,Morehead State,H
TEAM,NA,NA,25,50,7,22,20,33,9,25,34,13,15,6,17,19,77,FALSE,2006-02-14,Morehead State,H
