player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Smith,F,33,9,14,1,3,3,3,0,6,6,6,1,0,2,0,22,TRUE,2006-02-15,St. Bonaventure,H
M. St. John,F,24,1,4,0,1,0,0,0,3,3,1,0,1,2,2,2,TRUE,2006-02-15,St. Bonaventure,H
S. Diaz,F,25,4,6,3,4,0,0,3,2,5,3,1,1,2,2,11,TRUE,2006-02-15,St. Bonaventure,H
P. Johnson,F,20,3,8,0,1,0,0,2,3,5,2,0,0,0,1,6,TRUE,2006-02-15,St. Bonaventure,H
L. FadipeL,C,14,1,3,0,0,0,1,0,6,6,0,0,2,0,2,2,TRUE,2006-02-15,St. Bonaventure,H
J. Thomas,G,35,6,11,3,6,2,2,2,3,5,8,0,0,1,2,17,FALSE,2006-02-15,St. Bonaventure,H
S. Neal,G,13,1,3,0,0,0,0,1,1,2,0,1,0,0,1,2,FALSE,2006-02-15,St. Bonaventure,H
D. Harris,G,35,5,15,2,9,0,0,0,5,5,1,1,0,2,1,12,FALSE,2006-02-15,St. Bonaventure,H
A. Lewis,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-02-15,St. Bonaventure,H
TEAM,NA,NA,30,64,9,24,5,6,11,31,42,21,4,4,11,11,74,FALSE,2006-02-15,St. Bonaventure,H
