player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Capusan,F,31,5,12,0,0,7,9,1,4,5,3,1,2,1,4,17,TRUE,2006-02-25,American,H
E. Schmidt,F,16,1,5,0,0,1,2,1,2,3,0,0,1,0,3,3,TRUE,2006-02-25,American,H
M. Betley,F,30,2,4,1,2,1,2,5,5,10,1,0,1,1,4,6,TRUE,2006-02-25,American,H
T. Detmer,F,21,2,4,0,0,1,2,2,3,5,1,3,0,3,2,5,TRUE,2006-02-25,American,H
P. Betley,G,20,3,10,1,7,1,1,0,1,1,0,1,0,2,5,8,TRUE,2006-02-25,American,H
P. Cummins,G,15,0,7,0,7,2,2,0,1,1,1,1,0,0,1,2,FALSE,2006-02-25,American,H
B. Abdullah,G,32,6,11,5,8,4,4,0,3,3,2,1,1,3,3,21,FALSE,2006-02-25,American,H
K. Kenny,G,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,FALSE,2006-02-25,American,H
A. Brown,G,33,2,10,1,9,0,0,0,2,2,3,2,0,4,1,5,FALSE,2006-02-25,American,H
TEAM,NA,NA,21,64,8,33,17,22,13,23,36,11,9,5,14,24,67,FALSE,2006-02-25,American,H
