player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Caner-Medley,F,26,4,8,0,0,0,0,5,5,10,2,1,0,2,0,8,TRUE,2005-12-07,Western Carolina,H
T. Garrison,F,29,9,13,1,2,4,4,6,8,14,0,2,2,0,2,23,TRUE,2005-12-07,Western Carolina,H
E. Ibekwe,F,19,7,12,0,1,4,7,4,2,6,0,1,0,0,3,18,TRUE,2005-12-07,Western Carolina,H
J. Gist,F,10,1,4,0,0,2,4,1,0,1,0,1,0,0,1,4,TRUE,2005-12-07,Western Carolina,H
G. Chukura,F,4,1,4,0,0,0,0,3,0,3,0,0,0,0,0,2,TRUE,2005-12-07,Western Carolina,H
D. Neal,F,4,0,1,0,0,2,2,0,1,1,0,0,0,0,1,2,FALSE,2005-12-07,Western Carolina,H
W. Bowers,C,14,2,4,0,0,0,2,1,0,1,0,0,1,0,1,4,FALSE,2005-12-07,Western Carolina,H
D.J. Strawberry,G,24,3,4,1,1,6,6,0,2,2,4,1,0,3,0,13,FALSE,2005-12-07,Western Carolina,H
M. Jones,G,33,2,7,2,5,0,0,0,1,1,3,0,0,3,3,6,FALSE,2005-12-07,Western Carolina,H
S. Ledbetter,G,19,2,5,0,0,1,2,0,1,1,2,3,0,0,0,5,FALSE,2005-12-07,Western Carolina,H
P. Brown,G,18,1,3,0,1,0,0,1,3,4,5,1,0,1,0,2,FALSE,2005-12-07,Western Carolina,H
TEAM,NA,NA,32,65,4,10,19,27,24,25,49,16,10,3,9,11,87,FALSE,2005-12-07,Western Carolina,H
