player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. McCrory,F,16,3,4,0,0,0,0,2,1,3,0,0,0,1,1,6,TRUE,2006-01-02,Siena,H
R. Schneider,F,30,3,7,2,5,0,0,1,1,2,1,1,0,3,2,8,TRUE,2006-01-02,Siena,H
J. Duell,F,17,5,10,1,3,0,0,2,2,4,2,0,1,2,2,11,TRUE,2006-01-02,Siena,H
C. McIntosh,F,10,0,2,0,1,0,0,1,0,1,1,0,1,1,0,0,TRUE,2006-01-02,Siena,H
M. KlimesM,C,32,8,11,0,0,0,0,3,6,9,4,0,0,2,5,16,TRUE,2006-01-02,Siena,H
C. Holm,C,15,1,4,0,0,1,4,5,4,9,0,0,0,0,1,3,FALSE,2006-01-02,Siena,H
K. Cieplicki,G,38,2,8,1,5,2,3,1,2,3,3,2,0,3,3,7,FALSE,2006-01-02,Siena,H
C. Powlovich,G,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,2006-01-02,Siena,H
R. Sisca,G,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,3,FALSE,2006-01-02,Siena,H
M. Trimboli,G,35,4,11,2,5,1,3,0,4,4,8,3,0,5,4,11,FALSE,2006-01-02,Siena,H
TEAM,NA,NA,27,60,7,22,4,10,16,22,38,19,6,2,18,18,65,FALSE,2006-01-02,Siena,H
