player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Gladness,F,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,TRUE,2006-12-17,Nebraska,A
J. Belt,F,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,TRUE,2006-12-17,Nebraska,A
L. Smith,F,12,2,5,2,3,0,2,0,0,0,0,0,0,1,2,6,TRUE,2006-12-17,Nebraska,A
J. Inman,F,11,1,1,0,0,1,2,1,1,2,0,1,0,1,4,3,TRUE,2006-12-17,Nebraska,A
R. Parker,F,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE,2006-12-17,Nebraska,A
A. WilliamsA,F,23,1,3,0,2,2,2,0,1,1,2,1,0,4,4,4,FALSE,2006-12-17,Nebraska,A
M. GladnessM,C,30,1,3,0,0,1,5,0,3,3,1,1,5,2,1,3,FALSE,2006-12-17,Nebraska,A
N. ArnoldN,C,16,1,1,0,0,0,0,1,0,1,0,1,0,1,5,2,FALSE,2006-12-17,Nebraska,A
J. Brown,G,27,2,6,1,5,0,3,1,2,3,1,1,1,2,2,5,FALSE,2006-12-17,Nebraska,A
E. Hilton,G,27,3,8,2,4,4,4,1,6,7,0,1,0,3,3,12,FALSE,2006-12-17,Nebraska,A
T. Simpson,G,33,5,9,1,2,5,6,0,2,2,3,3,0,8,2,16,FALSE,2006-12-17,Nebraska,A
C. Hester,G,11,1,4,0,2,0,0,1,2,3,1,0,0,0,0,2,FALSE,2006-12-17,Nebraska,A
TEAM,NA,NA,18,42,6,18,13,24,6,20,26,8,10,6,24,23,55,FALSE,2006-12-17,Nebraska,A
