player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
I. Wells,F,33,6,11,1,3,4,8,2,3,5,2,1,0,4,4,17,TRUE,2006-11-12,Monmouth,H
S. Morgan,F,15,0,1,0,0,2,2,1,1,2,1,1,0,0,1,2,TRUE,2006-11-12,Monmouth,H
A. Farmer,F,8,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,TRUE,2006-11-12,Monmouth,H
K. Gant,F,32,2,4,0,0,4,4,0,7,7,2,0,2,1,4,8,TRUE,2006-11-12,Monmouth,H
A. Ajasin,F,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,TRUE,2006-11-12,Monmouth,H
T. Little,C,11,1,2,0,0,0,0,1,1,2,1,0,0,3,4,2,FALSE,2006-11-12,Monmouth,H
C. Brown,G,38,2,9,0,0,0,0,1,3,4,2,2,0,3,0,4,FALSE,2006-11-12,Monmouth,H
A. Banks,G,44,8,20,6,9,2,4,0,4,4,2,0,0,1,0,24,FALSE,2006-11-12,Monmouth,H
R. Wedel,G,41,3,6,2,5,2,2,1,7,8,3,1,0,0,0,10,FALSE,2006-11-12,Monmouth,H
TEAM,NA,NA,22,53,9,17,14,20,7,29,36,14,5,3,15,16,67,FALSE,2006-11-12,Monmouth,H
