player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Sample,F,5,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0,TRUE,2007-02-17,Buffalo,A
C. Hayes,F,17,2,2,0,0,0,0,1,0,1,2,0,0,1,1,4,TRUE,2007-02-17,Buffalo,A
T. Washington,F,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,TRUE,2007-02-17,Buffalo,A
N. Jokic,F,26,1,4,1,3,0,0,2,2,4,3,0,0,2,4,3,TRUE,2007-02-17,Buffalo,A
R. Covile,C,37,10,16,0,0,3,6,5,7,12,1,1,0,1,4,23,TRUE,2007-02-17,Buffalo,A
R. Allen,C,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,FALSE,2007-02-17,Buffalo,A
M. Abdur-Rahim,G,19,3,3,1,1,2,2,2,5,7,0,0,1,1,0,9,FALSE,2007-02-17,Buffalo,A
B. Bell,G,28,3,8,2,5,0,0,0,1,1,5,1,0,3,0,8,FALSE,2007-02-17,Buffalo,A
B. Cotton,G,36,8,20,0,2,6,6,2,1,3,1,2,0,2,0,22,FALSE,2007-02-17,Buffalo,A
Z. Everingham,G,22,2,4,0,1,0,0,1,0,1,0,3,0,0,0,4,FALSE,2007-02-17,Buffalo,A
J. Goode,G,21,4,8,3,6,7,7,1,2,3,1,0,0,1,2,18,FALSE,2007-02-17,Buffalo,A
E. Stephens,G,4,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,FALSE,2007-02-17,Buffalo,A
W. Payne,G,6,0,0,0,0,1,2,0,1,1,2,1,0,0,2,1,FALSE,2007-02-17,Buffalo,A
TEAM,NA,NA,33,65,7,18,19,25,16,26,42,18,8,1,13,14,92,FALSE,2007-02-17,Buffalo,A
