player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Chavez,F,14,1,1,1,1,0,0,0,1,1,1,0,0,1,2,3,TRUE,2006-12-06,Western Kentucky,H
M. Dlouhy,F,33,3,10,1,6,2,2,2,1,3,2,1,0,2,3,9,TRUE,2006-12-06,Western Kentucky,H
J. Hasquet,F,15,1,4,0,0,0,0,1,2,3,0,0,0,2,5,2,TRUE,2006-12-06,Western Kentucky,H
K. Sharp,F,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2006-12-06,Western Kentucky,H
G. Chase,F,5,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,TRUE,2006-12-06,Western Kentucky,H
A. StraitA,C,38,11,15,0,0,3,7,5,5,10,1,0,0,1,2,25,FALSE,2006-12-06,Western Kentucky,H
M. Martin,G,27,0,7,0,5,2,5,1,1,2,2,0,0,1,0,2,FALSE,2006-12-06,Western Kentucky,H
B. Ellis,G,31,2,7,2,5,1,2,0,0,0,5,2,0,5,3,7,FALSE,2006-12-06,Western Kentucky,H
A. Swift,G,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2006-12-06,Western Kentucky,H
C. Rundles,G,16,4,8,2,3,3,4,1,2,3,3,0,0,2,4,13,FALSE,2006-12-06,Western Kentucky,H
R. Staudacher,G,13,1,3,1,3,1,2,1,1,2,0,0,0,0,1,4,FALSE,2006-12-06,Western Kentucky,H
TEAM,NA,NA,23,56,7,23,12,22,13,14,27,14,3,1,16,22,65,FALSE,2006-12-06,Western Kentucky,H
