player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
B. Winkelman,F,33,8,15,0,2,3,3,7,2,9,1,1,0,3,4,19,TRUE,2006-11-17,Texas Tech,A
A. Smith,F,33,7,11,0,1,0,2,0,8,8,1,2,1,4,3,14,TRUE,2006-11-17,Texas Tech,A
L. Moormann,C,20,5,9,0,0,1,1,1,5,6,1,0,1,1,0,11,TRUE,2006-11-17,Texas Tech,A
M. Nelson,G,36,8,10,3,4,0,0,0,5,5,4,0,0,3,4,19,TRUE,2006-11-17,Texas Tech,A
B. Woodside,G,40,5,12,2,5,5,7,1,1,2,7,1,0,5,3,17,TRUE,2006-11-17,Texas Tech,A
L. Riley,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-11-17,Texas Tech,A
T. Lunde,F,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,2006-11-17,Texas Tech,A
A. Pennick,G,17,0,1,0,0,1,2,1,1,2,1,0,0,0,5,1,FALSE,2006-11-17,Texas Tech,A
J. Vaughan,G,17,0,1,0,1,0,0,0,2,2,1,1,0,0,4,0,FALSE,2006-11-17,Texas Tech,A
TEAM,NA,NA,33,60,5,14,10,15,11,26,37,16,5,2,16,24,81,FALSE,2006-11-17,Texas Tech,A
