player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
L. Mbah a Moute,F,30,4,6,0,0,0,1,1,5,6,0,3,2,3,1,8,TRUE,2006-12-31,Washington,H
J. ShippJ,F,23,5,10,1,4,2,2,2,1,3,3,1,0,2,0,13,TRUE,2006-12-31,Washington,H
L. Mata-Real,C,24,4,6,0,0,0,0,0,2,2,2,3,0,0,3,8,TRUE,2006-12-31,Washington,H
A. Afflalo,G,33,11,15,5,8,0,0,2,3,5,8,2,0,0,1,27,TRUE,2006-12-31,Washington,H
D. Collison,G,33,6,11,3,6,0,0,0,1,1,12,1,0,2,2,15,TRUE,2006-12-31,Washington,H
R. Wright,F,8,2,3,0,0,0,0,2,1,3,0,0,0,0,1,4,FALSE,2006-12-31,Washington,H
J. Keefe,F,10,1,1,0,0,0,0,0,0,0,1,0,0,2,3,2,FALSE,2006-12-31,Washington,H
N. Dragovic,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2006-12-31,Washington,H
A. AboyaA,C,8,0,1,0,0,2,2,0,2,2,0,1,2,1,2,2,FALSE,2006-12-31,Washington,H
M. Roll,G,22,6,11,3,6,0,0,0,1,1,2,1,0,2,2,15,FALSE,2006-12-31,Washington,H
M. Abdul-Hamid,G,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2006-12-31,Washington,H
R. Westbrook,G,7,1,3,0,1,0,0,0,1,1,1,0,0,0,0,2,FALSE,2006-12-31,Washington,H
TEAM,NA,NA,40,67,12,25,4,5,8,20,28,29,12,4,13,15,96,FALSE,2006-12-31,Washington,H
