player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Heck,F,37,5,11,2,4,8,9,1,4,5,3,2,0,2,1,20,TRUE,2006-12-22,Southern Utah,H
M. Peterson,F,19,2,2,0,0,0,3,0,1,1,2,0,0,1,1,4,TRUE,2006-12-22,Southern Utah,H
R. Troyer,F,27,4,11,3,7,0,0,3,3,6,0,0,0,1,0,11,TRUE,2006-12-22,Southern Utah,H
P. Brown,F,11,2,3,0,0,0,1,0,1,1,1,1,1,2,3,4,TRUE,2006-12-22,Southern Utah,H
J. Brady,F,17,4,10,0,0,2,2,3,3,6,0,0,2,0,2,10,TRUE,2006-12-22,Southern Utah,H
B. Ravenberg,C,10,1,2,0,0,0,0,1,1,2,0,0,0,1,2,2,FALSE,2006-12-22,Southern Utah,H
J. Walker III,C,12,1,2,0,0,0,2,2,6,8,1,0,2,0,4,2,FALSE,2006-12-22,Southern Utah,H
J. Olsen,G,20,1,1,0,0,3,4,0,1,1,1,2,0,2,1,5,FALSE,2006-12-22,Southern Utah,H
R. Toolson,G,27,0,7,0,5,4,4,0,0,0,2,1,0,2,2,4,FALSE,2006-12-22,Southern Utah,H
C. Bailey,G,20,1,3,0,1,0,0,0,0,0,2,1,0,0,2,2,FALSE,2006-12-22,Southern Utah,H
TEAM,NA,NA,21,52,5,17,17,25,13,20,33,12,7,5,12,18,64,FALSE,2006-12-22,Southern Utah,H
