player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Sumpter,F,20,4,8,3,5,6,8,2,3,5,0,3,0,3,4,17,TRUE,2006-11-17,Charleston,H
W. Sheridan,F,31,5,11,0,1,4,5,5,3,8,2,3,1,2,4,14,TRUE,2006-11-17,Charleston,H
D. Cunningham,F,18,4,6,0,0,0,1,1,1,2,0,1,0,4,4,8,TRUE,2006-11-17,Charleston,H
F. Tchuisi,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2006-11-17,Charleston,H
S. Clark,F,28,5,9,1,2,1,2,1,5,6,2,0,1,3,1,12,TRUE,2006-11-17,Charleston,H
B. BennB,F,16,0,0,0,0,2,2,1,1,2,0,0,0,1,3,2,FALSE,2006-11-17,Charleston,H
D. AndersonD,F,13,0,2,0,1,0,0,0,3,3,1,0,0,1,0,0,FALSE,2006-11-17,Charleston,H
C. Drummond,C,2,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,FALSE,2006-11-17,Charleston,H
M. Nardi,G,36,3,10,2,3,8,8,0,2,2,6,0,0,3,2,16,FALSE,2006-11-17,Charleston,H
R. Redding,G,18,2,8,1,3,1,2,2,2,4,1,2,0,0,1,6,FALSE,2006-11-17,Charleston,H
S. Reynolds,G,17,2,2,0,0,2,2,0,2,2,2,0,0,0,4,6,FALSE,2006-11-17,Charleston,H
TEAM,NA,NA,25,57,7,15,24,32,14,23,37,14,9,2,17,24,81,FALSE,2006-11-17,Charleston,H
