player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. McKenna,F,18,3,6,2,4,1,1,4,3,7,0,0,1,1,0,9,TRUE,2006-11-29,Wofford,A
S. Johnson,F,3,1,3,0,1,0,0,0,0,0,0,0,0,1,0,2,TRUE,2006-11-29,Wofford,A
N. Aldridge,F,35,6,16,0,2,3,4,3,7,10,0,1,1,4,2,15,TRUE,2006-11-29,Wofford,A
J. Robinson,F,28,7,9,6,7,0,1,2,1,3,1,1,0,2,2,20,TRUE,2006-11-29,Wofford,A
K. Greathouse,G,38,2,5,1,4,1,2,1,3,4,5,1,0,1,3,6,TRUE,2006-11-29,Wofford,A
A. Russell,G,30,5,10,1,5,8,11,1,1,2,2,1,1,1,4,19,FALSE,2006-11-29,Wofford,A
E. Wilson,G,23,2,6,1,2,1,1,1,2,3,0,2,0,2,3,6,FALSE,2006-11-29,Wofford,A
B. Giles,G,16,2,4,0,1,0,0,1,2,3,5,2,0,0,4,4,FALSE,2006-11-29,Wofford,A
B. Waginger,G,9,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,FALSE,2006-11-29,Wofford,A
TEAM,NA,NA,28,60,11,27,14,20,15,20,35,16,8,3,13,18,81,FALSE,2006-11-29,Wofford,A
