player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Shepherd,F,13,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,TRUE,2007-12-21,Southern,A
D. Simpson,F,10,2,3,0,0,0,0,1,2,3,0,1,0,0,0,4,TRUE,2007-12-21,Southern,A
K. Rogers,F,28,10,15,0,0,1,2,3,7,10,1,0,2,3,2,21,TRUE,2007-12-21,Southern,A
M. Diene,C,14,0,0,0,0,1,3,1,0,1,0,0,1,0,1,1,TRUE,2007-12-21,Southern,A
J. Lomers,C,13,1,1,0,0,0,0,0,2,2,0,0,1,1,4,2,TRUE,2007-12-21,Southern,A
A. Bruce,G,29,6,10,2,6,0,2,0,2,2,2,2,0,0,3,14,FALSE,2007-12-21,Southern,A
C. Jerrells,G,30,2,10,1,5,5,6,1,3,4,5,1,0,0,0,10,FALSE,2007-12-21,Southern,A
H. Dugat,G,24,2,11,1,6,2,4,0,4,4,1,3,0,1,1,7,FALSE,2007-12-21,Southern,A
T. Carter,G,20,3,9,1,3,0,0,3,2,5,1,2,0,2,3,7,FALSE,2007-12-21,Southern,A
L. Dunn,G,19,1,4,1,4,2,2,1,1,2,0,0,0,4,2,5,FALSE,2007-12-21,Southern,A
TEAM,NA,NA,27,64,6,24,11,19,13,25,38,10,9,4,11,18,71,FALSE,2007-12-21,Southern,A
