player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
W. Peeples,F,24,1,1,0,0,2,3,0,4,4,5,4,1,2,3,4,TRUE,2007-12-30,Murray State,N
K. Belcher,F,10,2,7,1,4,0,0,0,1,1,0,0,0,0,1,5,TRUE,2007-12-30,Murray State,N
M. Dotson,F,25,7,14,3,8,0,0,2,4,6,2,0,0,0,2,17,TRUE,2007-12-30,Murray State,N
A. HouseA,F,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,2007-12-30,Murray State,N
S. DansbyS,F,30,6,9,2,3,2,3,3,3,6,0,1,0,0,2,16,TRUE,2007-12-30,Murray State,N
J. CampbellJ,F,23,2,4,2,3,0,0,2,0,2,2,1,0,0,2,6,FALSE,2007-12-30,Murray State,N
J. HouseJ,F,7,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,FALSE,2007-12-30,Murray State,N
M. Dejworek,C,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,FALSE,2007-12-30,Murray State,N
A. Wicke,G,9,1,3,1,3,0,0,0,0,0,2,0,0,0,4,3,FALSE,2007-12-30,Murray State,N
H. Harris,G,15,3,5,2,4,1,4,0,0,0,0,1,0,1,2,9,FALSE,2007-12-30,Murray State,N
J. Hare,G,31,7,14,3,6,2,2,0,0,0,2,2,0,3,0,19,FALSE,2007-12-30,Murray State,N
A. Renfroe,G,20,1,2,0,1,3,4,0,1,1,5,3,0,2,0,5,FALSE,2007-12-30,Murray State,N
TEAM,NA,NA,30,60,14,32,10,17,9,20,29,18,12,1,8,19,84,FALSE,2007-12-30,Murray State,N
