player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
L. Trifunovic,F,25,5,9,0,0,0,4,0,3,3,2,1,0,1,3,10,TRUE,2008-02-27,Albany,H
M. Camara,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,TRUE,2008-02-27,Albany,H
R. Fuller,F,29,4,8,0,1,2,3,6,3,9,3,0,0,2,2,10,TRUE,2008-02-27,Albany,H
G. Olomo,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,TRUE,2008-02-27,Albany,H
J. Montgomery,C,7,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,TRUE,2008-02-27,Albany,H
M. Gordon,G,39,3,13,1,5,4,4,4,4,8,3,0,0,1,3,11,FALSE,2008-02-27,Albany,H
D. Jackson,G,25,2,8,1,2,2,2,4,0,4,1,0,0,3,5,7,FALSE,2008-02-27,Albany,H
R. Forbes,G,29,3,11,0,4,0,0,1,2,3,5,3,0,1,1,6,FALSE,2008-02-27,Albany,H
B. Herbert,G,9,3,6,2,4,0,0,1,0,1,1,0,0,1,1,8,FALSE,2008-02-27,Albany,H
C. Lukusa,G,31,3,5,1,2,1,3,1,2,3,0,0,0,1,2,8,FALSE,2008-02-27,Albany,H
C. Henry,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2008-02-27,Albany,H
TEAM,NA,NA,24,61,5,18,9,16,20,14,34,15,4,0,13,24,62,FALSE,2008-02-27,Albany,H
