player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Haymaker,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,2008-01-10,UT Arlington,H
D. Nevels,F,25,2,6,0,0,5,6,0,1,1,0,1,1,1,4,9,TRUE,2008-01-10,UT Arlington,H
K. Cannon,F,14,0,2,0,1,1,2,0,1,1,0,0,0,2,2,1,TRUE,2008-01-10,UT Arlington,H
L. Brewer,C,23,0,4,0,0,0,0,2,4,6,0,1,1,1,3,0,TRUE,2008-01-10,UT Arlington,H
B. Marks,C,37,3,4,0,0,2,4,5,5,10,0,0,2,1,4,8,TRUE,2008-01-10,UT Arlington,H
R. Williams,G,2,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,FALSE,2008-01-10,UT Arlington,H
N. Bowie,G,42,2,9,1,4,7,8,1,2,3,5,2,0,7,4,12,FALSE,2008-01-10,UT Arlington,H
P. Harding,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2008-01-10,UT Arlington,H
M. Pillow,G,41,8,17,4,11,3,5,0,3,3,2,1,0,1,0,23,FALSE,2008-01-10,UT Arlington,H
Y. Sims,G,38,8,15,1,5,0,2,1,7,8,2,1,1,1,3,17,FALSE,2008-01-10,UT Arlington,H
TEAM,NA,NA,23,58,6,21,18,27,10,26,36,9,6,5,15,23,70,FALSE,2008-01-10,UT Arlington,H
