player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
Q. Goods,F,15,3,3,0,0,0,0,3,1,4,0,0,1,0,2,6,TRUE,2007-11-23,North Florida,A
S. Carter,F,25,1,3,0,1,6,8,3,8,11,2,1,1,4,2,8,TRUE,2007-11-23,North Florida,A
M. Duvall,F,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,TRUE,2007-11-23,North Florida,A
B. Macklin,F,24,4,5,0,0,0,0,1,1,2,3,0,1,3,2,8,TRUE,2007-11-23,North Florida,A
G. Knysas,C,22,0,2,0,0,1,2,1,1,2,2,0,0,0,5,1,TRUE,2007-11-23,North Florida,A
C. Moore,G,34,10,12,4,6,3,3,0,3,3,4,4,1,4,3,27,FALSE,2007-11-23,North Florida,A
J. Warren,G,31,4,14,0,3,0,0,1,3,4,1,2,0,3,1,8,FALSE,2007-11-23,North Florida,A
A. Johnson,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2007-11-23,North Florida,A
T. Bailey,G,14,2,4,0,1,0,2,1,4,5,0,0,0,3,2,4,FALSE,2007-11-23,North Florida,A
O. Carter,G,29,2,8,0,2,6,10,1,11,12,1,1,1,7,3,10,FALSE,2007-11-23,North Florida,A
TEAM,NA,NA,26,51,4,13,16,25,13,33,46,13,8,5,27,22,72,FALSE,2007-11-23,North Florida,A
