player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Oveneke,F,33,4,7,0,0,3,6,4,3,7,1,3,0,1,4,11,TRUE,2008-01-09,Northeastern,A
E. Neisler,F,8,0,0,0,0,2,2,1,1,2,0,1,0,3,1,2,TRUE,2008-01-09,Northeastern,A
K. Tribbett,F,12,1,3,0,0,0,0,0,1,1,0,0,0,1,4,2,TRUE,2008-01-09,Northeastern,A
L. Feurtado,F,10,1,4,1,2,0,0,0,1,1,0,0,0,1,3,3,TRUE,2008-01-09,Northeastern,A
Y. Formbor,F,6,1,2,0,0,0,0,1,2,3,0,0,0,0,0,2,TRUE,2008-01-09,Northeastern,A
S. Cameron,F,1,1,1,0,0,1,1,1,1,2,0,0,0,0,0,3,FALSE,2008-01-09,Northeastern,A
R. HamptonR,F,22,1,4,0,2,0,0,0,1,1,3,0,0,2,2,2,FALSE,2008-01-09,Northeastern,A
F. Elegar,C,20,0,3,0,0,2,2,2,2,4,0,0,0,3,2,2,FALSE,2008-01-09,Northeastern,A
T. Hawthorne,G,19,1,5,1,4,0,0,2,1,3,2,1,0,3,1,3,FALSE,2008-01-09,Northeastern,A
S. Rodgers,G,36,4,14,1,7,0,0,2,1,3,0,2,1,2,3,9,FALSE,2008-01-09,Northeastern,A
B. Lally,G,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,FALSE,2008-01-09,Northeastern,A
G. Colds,G,18,1,6,1,6,0,0,0,0,0,0,1,0,2,2,3,FALSE,2008-01-09,Northeastern,A
J. Harris,G,11,1,3,1,3,0,0,1,1,2,1,0,0,1,5,3,FALSE,2008-01-09,Northeastern,A
C. Mohl,G,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,FALSE,2008-01-09,Northeastern,A
TEAM,NA,NA,16,55,5,26,8,11,15,16,31,7,9,1,19,27,45,FALSE,2008-01-09,Northeastern,A
