player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
G. Brozos,F,25,4,7,3,3,3,4,0,2,2,1,0,1,3,3,14,TRUE,2008-02-16,Davidson,A
N. States,F,29,0,6,0,2,0,0,0,5,5,2,0,1,0,1,0,TRUE,2008-02-16,Davidson,A
C. NolteC,F,20,5,9,3,6,0,0,0,1,1,0,0,0,4,2,13,TRUE,2008-02-16,Davidson,A
D. Evans,G,18,0,0,0,0,1,2,1,1,2,3,1,0,1,0,1,TRUE,2008-02-16,Davidson,A
J. Dehm,G,25,1,7,1,6,0,0,0,2,2,1,0,0,1,0,3,TRUE,2008-02-16,Davidson,A
E. Perry,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2008-02-16,Davidson,A
A. Opacic,F,22,4,6,0,0,0,0,0,2,2,2,0,0,3,4,8,FALSE,2008-02-16,Davidson,A
J. Miller,G,21,3,6,1,1,1,2,0,3,3,1,1,1,1,1,8,FALSE,2008-02-16,Davidson,A
B. Austin,G,28,2,6,0,2,0,0,0,0,0,1,0,1,0,3,4,FALSE,2008-02-16,Davidson,A
T. Anderson,G,11,0,2,0,1,0,0,0,3,3,1,0,0,2,0,0,FALSE,2008-02-16,Davidson,A
TEAM,NA,NA,19,49,8,21,5,8,2,23,25,12,2,4,16,14,51,FALSE,2008-02-16,Davidson,A
