player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Diggs,F,29,8,10,0,0,5,7,3,3,6,2,0,2,3,2,21,TRUE,2007-11-10,Mt. St. Mary's,H
C. Moore,F,23,1,9,0,2,0,0,2,1,3,3,1,0,3,3,2,TRUE,2007-11-10,Mt. St. Mary's,H
D. Hollis,F,26,4,6,1,2,0,0,3,9,12,4,1,1,4,1,9,TRUE,2007-11-10,Mt. St. Mary's,H
M. Rice,G,30,6,11,3,5,0,0,1,2,3,4,2,0,4,1,15,TRUE,2007-11-10,Mt. St. Mary's,H
P. Laplante,F,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,TRUE,2007-11-10,Mt. St. Mary's,H
D. Green,F,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2007-11-10,Mt. St. Mary's,H
H. Opoku,F,5,0,1,0,0,0,0,1,0,1,0,0,0,3,4,0,FALSE,2007-11-10,Mt. St. Mary's,H
W. Witherspoon,F,28,6,8,2,3,1,3,3,8,11,2,0,0,3,1,15,FALSE,2007-11-10,Mt. St. Mary's,H
J. Katuka,C,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,2007-11-10,Mt. St. Mary's,H
J. Lee,G,8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,FALSE,2007-11-10,Mt. St. Mary's,H
X. Alexander,G,17,1,2,0,1,2,3,0,1,1,1,2,1,0,4,4,FALSE,2007-11-10,Mt. St. Mary's,H
M. Beatty,G,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2007-11-10,Mt. St. Mary's,H
N. Wilmore,G,20,3,7,3,5,0,0,0,1,1,1,0,0,0,0,9,FALSE,2007-11-10,Mt. St. Mary's,H
TEAM,NA,NA,30,56,9,19,8,14,14,30,44,18,6,4,23,16,77,FALSE,2007-11-10,Mt. St. Mary's,H
