player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
W. McLendon,F,29,5,8,0,1,9,12,2,5,7,1,1,1,5,4,19,TRUE,2008-01-19,Albany,H
M. Sabia,F,20,2,6,1,4,3,5,1,3,4,2,0,1,1,4,8,TRUE,2008-01-19,Albany,H
A. Minor,F,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2008-01-19,Albany,H
K. Estes,F,10,2,3,0,0,0,0,0,3,3,0,1,0,5,3,4,TRUE,2008-01-19,Albany,H
M. TurnerM,F,35,2,9,1,3,2,5,3,5,8,4,3,0,5,4,7,TRUE,2008-01-19,Albany,H
B. Glowiak,G,8,0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,FALSE,2008-01-19,Albany,H
J. Von Rosenberg,G,40,4,10,1,3,3,4,0,3,3,2,3,0,0,1,12,FALSE,2008-01-19,Albany,H
J. Zeglinski,G,39,4,12,3,9,2,2,1,3,4,0,1,0,2,4,13,FALSE,2008-01-19,Albany,H
A. Torres,G,11,0,1,0,1,0,0,2,0,2,0,1,0,1,2,0,FALSE,2008-01-19,Albany,H
TEAM,NA,NA,19,53,6,23,19,28,11,24,35,9,10,2,19,22,63,FALSE,2008-01-19,Albany,H
