player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Varnado,F,25,6,10,0,0,1,4,5,12,17,0,0,7,1,2,13,TRUE,2008-01-09,LSU,A
K. Augustus,F,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,TRUE,2008-01-09,LSU,A
E. Bailey,F,6,1,1,0,0,0,2,1,0,1,0,0,1,3,1,2,TRUE,2008-01-09,LSU,A
J. GordonJ,F,37,5,13,1,4,2,3,0,6,6,1,1,2,3,2,13,TRUE,2008-01-09,LSU,A
B. JohnsonB,C,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,TRUE,2008-01-09,LSU,A
B. Begley,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2008-01-09,LSU,A
B. Hansbrough,G,30,3,7,1,5,0,0,3,4,7,4,1,0,2,3,7,FALSE,2008-01-09,LSU,A
B. Stewart,G,35,2,6,1,4,6,8,1,5,6,5,1,0,2,3,11,FALSE,2008-01-09,LSU,A
P. Turner,G,34,2,6,0,2,0,0,0,3,3,1,2,0,2,3,4,FALSE,2008-01-09,LSU,A
J. Iupe,G,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2008-01-09,LSU,A
R. Benock,G,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3,FALSE,2008-01-09,LSU,A
B. Bolen,G,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,FALSE,2008-01-09,LSU,A
R. Johnson,G,12,3,4,0,1,0,0,1,2,3,0,0,0,1,0,6,FALSE,2008-01-09,LSU,A
TEAM,NA,NA,24,50,4,18,9,17,11,36,47,11,5,10,17,15,61,FALSE,2008-01-09,LSU,A
