player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Mitchell,F,15,4,5,0,0,0,0,2,2,4,1,0,2,3,4,8,TRUE,2008-02-09,Monmouth,A
S. Atupem,F,21,2,3,0,0,3,4,1,5,6,0,1,2,1,4,7,TRUE,2008-02-09,Monmouth,A
K. Beidler,F,21,2,4,1,2,0,1,0,5,5,2,0,1,1,2,5,TRUE,2008-02-09,Monmouth,A
S. Atupem,F,23,2,2,0,0,6,11,0,4,4,0,1,1,0,3,10,TRUE,2008-02-09,Monmouth,A
W. HollandW,F,33,2,5,2,5,5,5,1,2,3,1,1,0,1,1,11,TRUE,2008-02-09,Monmouth,A
J. Loughry,C,8,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,FALSE,2008-02-09,Monmouth,A
C. Vann,G,35,5,13,3,9,2,2,1,2,3,2,0,0,0,0,15,FALSE,2008-02-09,Monmouth,A
J. Cajou,G,11,2,4,0,1,1,1,1,1,2,0,0,0,0,1,5,FALSE,2008-02-09,Monmouth,A
J. Goode,G,33,3,6,0,2,9,12,0,3,3,6,2,0,6,2,15,FALSE,2008-02-09,Monmouth,A
TEAM,NA,NA,22,42,6,19,26,36,6,26,32,13,5,6,14,20,76,FALSE,2008-02-09,Monmouth,A
