player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
Q. Williams,F,33,4,7,0,0,3,4,2,5,7,0,1,3,3,4,11,TRUE,2007-12-08,Hartford,H
H. Stewart,F,18,1,2,0,0,5,7,2,2,4,1,0,0,3,5,7,TRUE,2007-12-08,Hartford,H
T. Thompson,G,16,4,5,2,2,8,8,0,5,5,0,0,0,1,4,18,TRUE,2007-12-08,Hartford,H
B. Bell,G,38,8,10,2,3,5,5,0,3,3,5,1,0,5,0,23,TRUE,2007-12-08,Hartford,H
J. White,G,36,6,8,4,6,8,10,0,2,2,6,1,0,2,0,24,TRUE,2007-12-08,Hartford,H
K. Hogans,F,6,0,1,0,0,0,0,1,1,2,0,0,1,1,5,0,FALSE,2007-12-08,Hartford,H
J. Montague Jr.,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2007-12-08,Hartford,H
J. Howerton,C,18,0,0,0,0,0,0,0,6,6,0,0,0,0,3,0,FALSE,2007-12-08,Hartford,H
A. McCoy,G,12,2,9,2,5,2,2,2,2,4,1,0,0,1,0,8,FALSE,2007-12-08,Hartford,H
D. Willingham,G,22,5,8,4,7,0,0,0,0,0,1,0,0,3,0,14,FALSE,2007-12-08,Hartford,H
TEAM,NA,NA,30,50,14,23,31,36,9,27,36,14,3,4,19,21,105,FALSE,2007-12-08,Hartford,H
