player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Lewis,F,5,0,1,0,0,0,0,0,1,1,0,0,0,2,4,0,TRUE,2007-12-29,Florida Gulf Coast,A
J. Reilly,F,18,1,4,0,1,1,2,1,1,2,1,1,1,5,2,3,TRUE,2007-12-29,Florida Gulf Coast,A
J. Eggleston,F,22,0,1,0,1,0,0,0,4,4,0,1,1,4,3,0,TRUE,2007-12-29,Florida Gulf Coast,A
C. Turley,F,13,0,3,0,1,0,0,1,2,3,0,0,0,2,1,0,TRUE,2007-12-29,Florida Gulf Coast,A
J. GillJ,F,7,1,1,1,1,1,2,0,2,2,1,0,0,0,0,4,TRUE,2007-12-29,Florida Gulf Coast,A
D. MoncktonD,F,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,2007-12-29,Florida Gulf Coast,A
A. Schreiber,C,20,2,5,0,1,3,9,4,1,5,0,0,1,6,4,7,FALSE,2007-12-29,Florida Gulf Coast,A
B. Grandieri,G,23,0,9,0,1,0,0,2,1,3,0,0,0,4,0,0,FALSE,2007-12-29,Florida Gulf Coast,A
A. Cohen,G,31,1,3,0,1,3,3,0,2,2,1,2,0,3,1,5,FALSE,2007-12-29,Florida Gulf Coast,A
K. Egee,G,22,1,4,1,3,1,4,3,1,4,1,0,0,2,2,4,FALSE,2007-12-29,Florida Gulf Coast,A
T. Bernardini,G,23,2,9,1,3,0,0,0,3,3,0,1,0,5,2,5,FALSE,2007-12-29,Florida Gulf Coast,A
R. Cofield,G,13,0,2,0,1,2,2,0,0,0,0,0,0,0,1,2,FALSE,2007-12-29,Florida Gulf Coast,A
TEAM,NA,NA,8,42,3,14,11,22,14,22,36,4,5,3,34,20,30,FALSE,2007-12-29,Florida Gulf Coast,A
