player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
B. Beran,F,13,3,5,1,1,0,0,0,3,3,3,0,0,1,1,7,TRUE,2007-12-30,San José St,A
K. Williams,F,42,6,11,2,3,4,7,3,4,7,0,0,0,1,4,18,TRUE,2007-12-30,San José St,A
C. Sargent,G,36,4,8,2,3,0,0,2,1,3,2,0,0,3,3,10,TRUE,2007-12-30,San José St,A
M. Palarca,G,32,2,5,0,2,1,2,0,3,3,5,1,0,2,3,5,TRUE,2007-12-30,San José St,A
G. Callahan,G,41,5,14,2,5,3,4,2,1,3,4,2,0,3,1,15,TRUE,2007-12-30,San José St,A
T. Bassett,F,11,3,4,0,0,1,2,2,1,3,0,0,0,2,1,7,FALSE,2007-12-30,San José St,A
A. Cordova,F,16,1,2,0,0,2,5,1,6,7,1,0,0,3,4,4,FALSE,2007-12-30,San José St,A
M. Loney,F,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,FALSE,2007-12-30,San José St,A
M. Berte,C,22,1,5,0,0,0,0,3,2,5,0,0,2,3,2,2,FALSE,2007-12-30,San José St,A
D. Moss,G,2,1,1,0,0,1,1,0,0,0,0,0,1,1,0,3,FALSE,2007-12-30,San José St,A
TEAM,NA,NA,26,55,7,14,12,21,13,23,36,15,3,3,22,22,71,FALSE,2007-12-30,San José St,A
