player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Ekweozor,F,11,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,TRUE,2007-11-30,LSU,A
J. Ingram,F,8,1,3,0,0,1,2,1,0,1,0,0,0,0,0,3,TRUE,2007-11-30,LSU,A
D. Scott,F,8,1,5,0,0,0,0,2,0,2,1,0,0,1,1,2,TRUE,2007-11-30,LSU,A
B. Byars,F,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,TRUE,2007-11-30,LSU,A
B. Honore,F,29,6,15,1,3,1,1,3,6,9,0,1,1,2,3,14,TRUE,2007-11-30,LSU,A
J. WilliamsJ,F,14,1,4,1,3,0,0,0,1,1,0,0,0,1,0,3,FALSE,2007-11-30,LSU,A
J. JackJ,C,19,1,6,0,1,1,2,1,2,3,0,1,1,1,2,3,FALSE,2007-11-30,LSU,A
A. DavisA,C,10,1,5,0,0,0,0,2,0,2,0,0,0,0,3,2,FALSE,2007-11-30,LSU,A
C. Davis,G,27,3,14,0,5,3,4,3,3,6,0,3,0,1,0,9,FALSE,2007-11-30,LSU,A
G. Guillory,G,25,1,3,1,2,2,2,0,1,1,1,0,0,4,1,5,FALSE,2007-11-30,LSU,A
S. Wiley,G,16,1,4,0,1,1,2,0,2,2,0,2,0,2,2,3,FALSE,2007-11-30,LSU,A
J. Holliday,G,26,0,6,0,4,0,0,2,0,2,1,1,0,1,0,0,FALSE,2007-11-30,LSU,A
B. White,G,4,0,0,0,0,1,2,1,1,2,1,1,0,0,0,1,FALSE,2007-11-30,LSU,A
TEAM,NA,NA,16,65,3,19,10,19,17,18,35,4,9,4,14,14,45,FALSE,2007-11-30,LSU,A
