player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J.J. Hirst,F,13,1,2,0,1,0,0,0,1,1,0,0,0,0,2,2,TRUE,2007-12-03,Bethune-Cookman,N
E. Diaz,F,20,2,4,0,2,0,0,0,6,6,1,1,0,4,3,4,TRUE,2007-12-03,Bethune-Cookman,N
S. Oliver,F,25,2,3,0,0,0,0,1,1,2,0,0,0,2,0,4,TRUE,2007-12-03,Bethune-Cookman,N
O. Dupiton,F,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,TRUE,2007-12-03,Bethune-Cookman,N
T. Lang,C,8,1,2,0,1,1,2,1,2,3,0,0,1,0,1,3,TRUE,2007-12-03,Bethune-Cookman,N
G. Blair,G,34,2,6,0,2,2,2,1,2,3,3,1,2,2,3,6,FALSE,2007-12-03,Bethune-Cookman,N
K. Thomas,G,31,4,5,1,2,0,2,0,3,3,2,1,1,5,4,9,FALSE,2007-12-03,Bethune-Cookman,N
A.J. Smith,G,33,4,7,3,5,3,3,0,1,1,2,3,0,4,1,14,FALSE,2007-12-03,Bethune-Cookman,N
B. Williams,G,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,2007-12-03,Bethune-Cookman,N
M. Lohuis,G,16,3,7,3,6,0,0,1,1,2,0,0,0,0,2,9,FALSE,2007-12-03,Bethune-Cookman,N
S. Bowen,G,8,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,FALSE,2007-12-03,Bethune-Cookman,N
TEAM,NA,NA,19,38,7,20,6,9,5,17,22,10,6,4,19,17,51,FALSE,2007-12-03,Bethune-Cookman,N
