player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Owens-Murray,F,22,2,4,0,0,0,2,2,4,6,1,0,0,3,2,4,TRUE,2008-03-01,IUPUI,A
D. Johnson,F,18,0,1,0,0,0,0,1,5,6,0,0,2,1,5,0,TRUE,2008-03-01,IUPUI,A
J. Granstra,F,8,0,0,0,0,4,4,0,0,0,0,1,0,0,0,4,TRUE,2008-03-01,IUPUI,A
C. GonzalezC,F,17,1,6,1,6,0,0,0,0,0,1,0,0,2,1,3,TRUE,2008-03-01,IUPUI,A
L. JohnsonL,C,16,2,4,0,0,0,0,0,2,2,0,2,0,0,2,4,TRUE,2008-03-01,IUPUI,A
D. Jackson,G,21,3,5,1,3,1,2,0,1,1,0,0,0,3,2,8,FALSE,2008-03-01,IUPUI,A
J. Washington III,G,34,3,6,2,3,1,2,0,1,1,2,0,0,2,3,9,FALSE,2008-03-01,IUPUI,A
D. Nurse,G,21,2,5,2,5,0,0,0,2,2,0,1,0,0,4,6,FALSE,2008-03-01,IUPUI,A
L. Dumas,G,12,1,3,0,0,3,4,0,0,0,0,0,0,0,1,5,FALSE,2008-03-01,IUPUI,A
D. Dubois,G,31,5,14,0,1,1,1,1,3,4,6,2,1,1,2,11,FALSE,2008-03-01,IUPUI,A
TEAM,NA,NA,19,48,6,18,10,15,5,21,26,10,6,3,12,22,54,FALSE,2008-03-01,IUPUI,A
