player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Mitchell,F,29,7,13,0,0,3,4,3,2,5,0,1,0,0,3,17,TRUE,2009-01-17,Ole Miss,A
C. Johnson,C,36,4,9,0,0,1,2,3,9,12,3,1,4,1,0,9,TRUE,2009-01-17,Ole Miss,A
G. Temple,G,31,5,9,4,6,0,0,0,7,7,9,0,1,2,2,14,TRUE,2009-01-17,Ole Miss,A
M. Thornton,G,32,3,9,1,3,6,8,0,5,5,3,1,1,0,2,13,TRUE,2009-01-17,Ole Miss,A
B. Spencer,G,31,5,11,1,4,1,2,0,3,3,3,1,0,1,2,12,TRUE,2009-01-17,Ole Miss,A
Q. Thornton,F,11,3,5,0,0,0,0,3,1,4,0,1,0,0,2,6,FALSE,2009-01-17,Ole Miss,A
D. Graham,F,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,2,FALSE,2009-01-17,Ole Miss,A
S. Warren,F,4,2,3,0,0,0,0,1,1,2,0,0,0,0,0,4,FALSE,2009-01-17,Ole Miss,A
C. Bass,G,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,FALSE,2009-01-17,Ole Miss,A
A. Farrer,G,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2009-01-17,Ole Miss,A
T. Martin,G,14,3,6,0,1,0,0,0,3,3,0,0,0,1,0,6,FALSE,2009-01-17,Ole Miss,A
TEAM,NA,NA,33,68,6,15,11,16,13,33,46,19,5,6,5,12,83,FALSE,2009-01-17,Ole Miss,A
