player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Barnies,F,21,2,2,0,0,2,2,2,3,5,2,0,0,3,0,6,TRUE,2008-12-10,Oklahoma,A
S. McNallyS,C,31,3,8,1,3,2,4,3,3,6,0,1,0,2,2,9,TRUE,2008-12-10,Oklahoma,A
J. Bernal,G,26,2,11,0,0,2,4,1,3,4,1,0,0,3,3,6,TRUE,2008-12-10,Oklahoma,A
M. Socoby,G,33,2,9,2,7,4,5,0,7,7,1,2,0,1,1,10,TRUE,2008-12-10,Oklahoma,A
G. McLemore,G,22,2,8,2,7,0,0,1,2,3,0,1,0,2,1,6,TRUE,2008-12-10,Oklahoma,A
S. Chetinov,F,23,2,3,0,0,0,0,3,2,5,0,2,1,1,4,4,FALSE,2008-12-10,Oklahoma,A
R. Martin,G,10,2,4,1,3,0,0,0,2,2,0,1,0,1,0,5,FALSE,2008-12-10,Oklahoma,A
D. Mitchell,G,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2008-12-10,Oklahoma,A
A. Rogers,G,12,1,2,0,0,0,0,0,0,0,2,0,0,5,1,2,FALSE,2008-12-10,Oklahoma,A
K. Owes,G,20,1,10,0,2,2,4,2,3,5,1,0,0,1,2,4,FALSE,2008-12-10,Oklahoma,A
TEAM,NA,NA,17,58,6,22,12,19,13,28,41,7,7,1,20,14,52,FALSE,2008-12-10,Oklahoma,A
