player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Teague,F,33,6,9,3,5,1,2,0,2,2,3,1,1,1,3,16,TRUE,2009-01-02,Wofford,H
M. Veazey,C,21,3,6,0,0,0,0,3,3,6,0,0,2,2,5,6,TRUE,2009-01-02,Wofford,H
O.J. Avworo,G,32,4,6,1,3,3,3,1,0,1,8,0,0,2,2,12,TRUE,2009-01-02,Wofford,H
K. Kina,G,27,2,9,0,4,6,6,0,4,4,2,1,0,1,0,10,TRUE,2009-01-02,Wofford,H
C. Harris,G,35,6,15,3,9,2,2,0,1,1,2,1,0,1,1,17,TRUE,2009-01-02,Wofford,H
T.J. Topercer,F,8,0,0,0,0,0,1,1,1,2,0,0,0,1,1,0,FALSE,2009-01-02,Wofford,H
S. Brooks,F,12,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,FALSE,2009-01-02,Wofford,H
C. Colbert,G,20,5,7,1,3,0,0,1,5,6,0,1,0,1,1,11,FALSE,2009-01-02,Wofford,H
J. Sugars,G,12,1,1,1,1,0,0,0,0,0,0,2,1,0,2,3,FALSE,2009-01-02,Wofford,H
TEAM,NA,NA,27,54,9,25,12,14,7,20,27,16,7,4,9,15,75,FALSE,2009-01-02,Wofford,H
