player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Wright,F,23,0,1,0,0,0,5,1,6,7,1,1,0,1,4,0,TRUE,2009-02-23,Kansas,H
T. Griffin,F,26,3,5,1,2,4,5,1,5,6,2,2,0,0,4,11,TRUE,2009-02-23,Kansas,H
A. Johnson,G,23,1,5,0,2,0,1,1,2,3,0,0,0,2,2,2,TRUE,2009-02-23,Kansas,H
T. Crocker,G,28,2,4,1,3,4,5,0,1,1,1,1,0,3,3,9,TRUE,2009-02-23,Kansas,H
W. Warren,G,38,8,16,3,6,4,4,0,3,3,3,1,0,4,5,23,TRUE,2009-02-23,Kansas,H
B. Gerber,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2009-02-23,Kansas,H
J. Pattillo,F,27,4,10,0,0,7,8,2,4,6,1,0,2,3,4,15,FALSE,2009-02-23,Kansas,H
O. Allen,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2009-02-23,Kansas,H
T.J. Franklin,G,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,2009-02-23,Kansas,H
O. Leary,G,12,2,5,2,5,0,0,0,3,3,0,0,0,0,4,6,FALSE,2009-02-23,Kansas,H
C. Davis,G,20,4,6,4,6,0,2,0,0,0,1,2,1,1,5,12,FALSE,2009-02-23,Kansas,H
TEAM,NA,NA,24,52,11,24,19,30,8,25,33,10,7,3,16,31,78,FALSE,2009-02-23,Kansas,H
