player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Blair,F,38,10,17,0,0,2,4,6,17,23,2,0,1,3,2,22,TRUE,2009-02-16,UConn,A
T. Biggs,F,14,2,3,1,2,0,0,1,1,2,1,0,1,0,4,5,TRUE,2009-02-16,UConn,A
S. Young,F,33,8,13,4,6,5,6,0,3,3,0,2,0,0,5,25,TRUE,2009-02-16,UConn,A
L. Fields,G,35,2,10,2,5,4,4,3,2,5,5,0,0,4,2,10,TRUE,2009-02-16,UConn,A
J. Dixon,G,24,3,8,1,3,4,4,0,0,0,5,0,0,0,1,11,TRUE,2009-02-16,UConn,A
N. Robinson,F,3,1,1,0,0,0,0,1,0,1,0,0,0,2,0,2,FALSE,2009-02-16,UConn,A
G. Brown,F,25,0,5,0,0,0,0,4,3,7,2,1,0,1,0,0,FALSE,2009-02-16,UConn,A
G. McGhee,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,2009-02-16,UConn,A
A. Gibbs,G,8,0,2,0,1,0,0,0,1,1,2,2,0,2,0,0,FALSE,2009-02-16,UConn,A
B. Wanamaker,G,19,0,6,0,2,1,2,1,0,1,0,1,0,2,1,1,FALSE,2009-02-16,UConn,A
TEAM,NA,NA,26,65,8,19,16,20,18,30,48,17,6,2,14,18,76,FALSE,2009-02-16,UConn,A
