player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Maddox,F,25,4,7,1,1,0,0,0,5,5,0,1,0,2,0,9,TRUE,2009-02-07,Columbia,H
P. Buczak,C,22,3,4,0,0,2,2,3,5,8,0,2,4,1,4,8,TRUE,2009-02-07,Columbia,H
D. Mavraides,G,23,2,7,2,5,2,2,0,4,4,1,3,0,0,2,8,TRUE,2009-02-07,Columbia,H
M. Schroeder,G,27,1,2,1,2,0,0,0,1,1,3,1,0,2,1,3,TRUE,2009-02-07,Columbia,H
D. Davis,G,29,2,9,1,6,0,0,0,3,3,0,2,0,1,0,5,TRUE,2009-02-07,Columbia,H
P. Saunders,F,16,2,5,0,1,2,2,3,1,4,1,1,2,0,3,6,FALSE,2009-02-07,Columbia,H
J. Comfort,F,12,1,3,1,3,2,2,0,2,2,0,0,0,1,0,5,FALSE,2009-02-07,Columbia,H
N. Lake,F,10,1,3,1,3,1,2,1,0,1,1,0,0,1,4,4,FALSE,2009-02-07,Columbia,H
M. StrittmatterM,C,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,FALSE,2009-02-07,Columbia,H
Z. Finley,C,14,3,4,0,0,5,6,2,6,8,1,0,0,1,3,11,FALSE,2009-02-07,Columbia,H
B. Foley,G,4,1,2,0,1,0,0,1,1,2,1,0,0,0,0,2,FALSE,2009-02-07,Columbia,H
M. Huc,G,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,FALSE,2009-02-07,Columbia,H
J. Briggs,G,7,1,1,0,0,0,0,0,2,2,0,0,0,3,0,2,FALSE,2009-02-07,Columbia,H
TEAM,NA,NA,21,47,7,22,14,16,11,30,41,8,10,6,13,19,63,FALSE,2009-02-07,Columbia,H
