player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Jones,F,34,5,11,0,0,5,7,1,5,6,1,1,0,2,3,15,TRUE,2009-01-17,Jackson State,H
M. Drewy,F,16,1,1,0,0,2,4,1,2,3,1,0,0,0,1,4,TRUE,2009-01-17,Jackson State,H
O. Abiakam,F,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2009-01-17,Jackson State,H
R. Boyles,F,25,4,7,0,0,0,0,2,1,3,0,0,0,2,5,8,TRUE,2009-01-17,Jackson State,H
D. Jones,F,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,2009-01-17,Jackson State,H
D. HendersonD,F,5,1,2,0,0,0,0,1,0,1,2,0,0,1,3,2,FALSE,2009-01-17,Jackson State,H
D. Burrell,G,27,0,1,0,0,2,2,1,3,4,3,2,0,4,1,2,FALSE,2009-01-17,Jackson State,H
N. Walker,G,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,2009-01-17,Jackson State,H
S. Norwood,G,32,2,7,1,3,2,2,0,0,0,4,3,0,3,2,7,FALSE,2009-01-17,Jackson State,H
M. Miller,G,29,3,14,2,5,4,8,3,0,3,0,3,0,3,3,12,FALSE,2009-01-17,Jackson State,H
D. Hall,G,14,4,9,0,1,0,0,0,1,1,1,1,0,2,3,8,FALSE,2009-01-17,Jackson State,H
H. Ford,G,8,1,1,1,1,2,2,0,1,1,1,0,0,1,0,5,FALSE,2009-01-17,Jackson State,H
M. Ellis,G,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,FALSE,2009-01-17,Jackson State,H
TEAM,NA,NA,21,55,4,10,17,25,13,16,29,14,10,0,20,21,63,FALSE,2009-01-17,Jackson State,H
