player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Uzochukwu,F,31,1,4,0,1,1,2,0,0,0,2,0,0,0,0,3,TRUE,2008-12-22,Southern,N
B. Davis,F,34,9,14,0,2,1,1,8,7,15,3,1,0,4,2,19,TRUE,2008-12-22,Southern,N
M. Preston,F,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,2008-12-22,Southern,N
P. Posey,F,16,3,5,1,1,1,2,3,0,3,0,0,0,2,5,8,TRUE,2008-12-22,Southern,N
C. Rogers,F,21,2,6,0,0,0,0,2,0,2,0,0,0,0,3,4,TRUE,2008-12-22,Southern,N
G. BorosG,F,21,3,5,2,4,0,0,0,2,2,3,0,0,2,0,8,FALSE,2008-12-22,Southern,N
N. Schneiders,C,19,3,6,0,0,3,5,2,5,7,0,0,1,0,3,9,FALSE,2008-12-22,Southern,N
Z. Rich,G,4,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,FALSE,2008-12-22,Southern,N
J. Chavis,G,32,4,9,4,8,0,0,0,6,6,2,0,0,1,0,12,FALSE,2008-12-22,Southern,N
C. Cook,G,15,1,2,1,1,4,4,0,3,3,0,0,0,1,0,7,FALSE,2008-12-22,Southern,N
L. Reiff,G,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2008-12-22,Southern,N
C. Rousey,G,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2008-12-22,Southern,N
TEAM,NA,NA,26,52,8,18,11,16,16,26,42,10,1,1,11,13,71,FALSE,2008-12-22,Southern,N
