player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Lee,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2008-12-17,Southern Utah,A
T. Wesley,F,22,3,5,0,0,0,0,0,2,2,0,3,1,1,5,6,TRUE,2008-12-17,Southern Utah,A
M. Formisano,F,9,0,1,0,0,0,0,0,1,1,0,0,0,2,5,0,TRUE,2008-12-17,Southern Utah,A
G. Wilkinson,F,33,6,10,0,0,5,6,1,5,6,2,0,0,1,1,17,TRUE,2008-12-17,Southern Utah,A
P. WilliamsP,F,26,1,2,0,1,1,2,0,1,1,1,1,0,1,1,3,TRUE,2008-12-17,Southern Utah,A
M. Niang,C,10,0,0,0,0,0,0,2,1,3,0,0,0,2,5,0,FALSE,2008-12-17,Southern Utah,A
T. Newbold,G,29,1,7,0,5,0,0,1,2,3,2,0,0,2,1,2,FALSE,2008-12-17,Southern Utah,A
J. Myaer,G,23,1,2,0,0,4,4,0,1,1,2,0,0,1,2,6,FALSE,2008-12-17,Southern Utah,A
D. Geiger,G,5,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,FALSE,2008-12-17,Southern Utah,A
S. Williams,G,16,5,8,3,5,2,2,0,1,1,0,0,0,0,0,15,FALSE,2008-12-17,Southern Utah,A
J. Quayle,G,26,8,9,1,2,6,8,2,4,6,2,0,1,0,1,23,FALSE,2008-12-17,Southern Utah,A
TEAM,NA,NA,25,45,4,14,18,22,6,21,27,11,4,2,10,21,72,FALSE,2008-12-17,Southern Utah,A
