player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Morgan,F,16,0,5,0,1,0,0,2,1,3,0,1,1,2,5,0,TRUE,2010-01-30,Northwestern,H
D. Roe,F,21,4,4,0,0,5,7,1,3,4,0,4,0,0,4,13,TRUE,2010-01-30,Northwestern,H
C. Allen,G,32,3,9,0,3,0,0,2,2,4,4,0,0,1,1,6,TRUE,2010-01-30,Northwestern,H
K. Lucas,G,36,6,11,1,4,10,12,0,1,1,4,0,0,0,1,23,TRUE,2010-01-30,Northwestern,H
D. Summers,G,31,9,13,2,4,4,7,4,6,10,2,0,0,1,3,24,TRUE,2010-01-30,Northwestern,H
D. Green,F,28,4,6,0,1,1,3,3,8,11,4,1,0,1,2,9,FALSE,2010-01-30,Northwestern,H
D. Nix,F,5,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,FALSE,2010-01-30,Northwestern,H
G. Sherman,C,8,1,1,0,0,0,0,0,1,1,0,0,1,1,1,2,FALSE,2010-01-30,Northwestern,H
A. Thornton,G,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,FALSE,2010-01-30,Northwestern,H
M. Kebler,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2010-01-30,Northwestern,H
K. Lucious,G,21,0,2,0,2,2,2,0,0,0,4,0,0,2,1,2,FALSE,2010-01-30,Northwestern,H
I. Dahlman,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2010-01-30,Northwestern,H
TEAM,NA,NA,27,52,3,15,22,31,13,24,37,19,7,2,9,20,79,FALSE,2010-01-30,Northwestern,H
