player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Regis,F,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,2010-03-06,Chicago State,A
N. Lopez,F,3,0,2,0,1,0,0,1,1,2,0,0,0,0,1,0,TRUE,2010-03-06,Chicago State,A
M. Darnell,F,18,2,4,2,3,0,2,0,4,4,0,0,0,1,3,6,TRUE,2010-03-06,Chicago State,A
D. Stonkus,C,6,1,1,0,0,0,0,0,1,1,0,1,0,0,3,2,TRUE,2010-03-06,Chicago State,A
J. Wilson,G,38,7,16,5,9,7,10,2,4,6,3,3,0,5,2,26,TRUE,2010-03-06,Chicago State,A
S. Schickel,G,27,4,11,3,8,0,0,0,2,2,0,2,0,1,4,11,FALSE,2010-03-06,Chicago State,A
T. Schickel,G,16,1,3,0,1,1,2,1,2,3,3,0,0,0,2,3,FALSE,2010-03-06,Chicago State,A
I. Wilkerson,G,27,3,10,0,2,0,1,2,2,4,5,1,0,2,5,6,FALSE,2010-03-06,Chicago State,A
C. Flores,G,22,6,9,3,5,2,3,1,1,2,2,2,0,3,2,17,FALSE,2010-03-06,Chicago State,A
P. Miller,G,30,2,5,0,1,0,0,2,2,4,5,1,1,6,3,4,FALSE,2010-03-06,Chicago State,A
TEAM,NA,NA,26,61,13,30,10,18,12,24,36,18,10,1,18,26,75,FALSE,2010-03-06,Chicago State,A
