player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Larson,F,25,6,9,4,4,4,4,1,7,8,3,0,4,2,2,20,TRUE,2010-01-02,Northern Colorado,H
S. Johannsen,F,26,2,4,0,0,1,4,1,4,5,0,0,2,1,4,5,TRUE,2010-01-02,Northern Colorado,H
C. Jones,G,35,5,14,0,1,5,6,1,3,4,4,0,0,3,3,15,TRUE,2010-01-02,Northern Colorado,H
G. Rogers,G,21,1,10,0,5,0,0,1,0,1,0,0,0,1,3,2,TRUE,2010-01-02,Northern Colorado,H
J. Olubuyi,G,26,0,1,0,0,1,2,1,1,2,4,1,0,1,2,1,TRUE,2010-01-02,Northern Colorado,H
D. Jones,F,17,3,4,2,2,0,0,1,1,2,1,2,0,3,2,8,FALSE,2010-01-02,Northern Colorado,H
J. Lepley,C,12,0,1,0,0,2,2,2,1,3,0,1,0,1,4,2,FALSE,2010-01-02,Northern Colorado,H
S. Saldivar,G,10,0,1,0,1,0,0,0,1,1,2,0,0,2,0,0,FALSE,2010-01-02,Northern Colorado,H
E. Platt,G,27,3,10,2,7,5,6,0,3,3,1,0,0,1,1,13,FALSE,2010-01-02,Northern Colorado,H
L. Flores,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2010-01-02,Northern Colorado,H
TEAM,NA,NA,20,54,8,20,18,24,12,22,34,15,4,6,15,22,66,FALSE,2010-01-02,Northern Colorado,H
