player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Zephyr,F,24,2,4,0,0,3,4,2,2,4,0,0,0,2,3,7,TRUE,2010-02-08,Delaware State,H
R. HamptonR,F,37,3,10,0,3,5,8,1,2,3,1,2,0,5,4,11,TRUE,2010-02-08,Delaware State,H
K. O'Quinn,C,34,5,9,1,3,1,2,5,12,17,1,0,2,3,3,12,TRUE,2010-02-08,Delaware State,H
M. Deloach,G,38,7,15,1,3,3,6,2,1,3,1,3,1,7,4,18,TRUE,2010-02-08,Delaware State,H
A. Pauline,G,38,0,1,0,0,0,0,0,2,2,6,2,0,5,4,0,TRUE,2010-02-08,Delaware State,H
M. Tamares,F,16,0,2,0,0,2,2,0,1,1,0,2,0,1,0,2,FALSE,2010-02-08,Delaware State,H
R. RevelsR,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2010-02-08,Delaware State,H
J. Dorsett-Jeffreys,C,6,0,1,0,0,0,0,0,2,2,0,0,0,0,2,0,FALSE,2010-02-08,Delaware State,H
I. Nixon,G,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2010-02-08,Delaware State,H
A. Perry,G,2,1,1,0,0,0,0,0,0,0,0,1,0,1,3,2,FALSE,2010-02-08,Delaware State,H
TEAM,NA,NA,18,44,2,9,14,22,13,24,37,9,10,3,26,24,52,FALSE,2010-02-08,Delaware State,H
