player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Hulbin,F,13,2,4,0,0,0,0,1,0,1,0,2,0,0,3,4,TRUE,2010-01-09,Nicholls,A
W. Pratt,F,16,1,2,0,0,2,5,0,0,0,0,0,0,3,0,4,TRUE,2010-01-09,Nicholls,A
C. ClarkC,F,23,4,6,0,0,4,8,1,6,7,0,1,1,2,2,12,TRUE,2010-01-09,Nicholls,A
A. Brooks,C,5,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,TRUE,2010-01-09,Nicholls,A
W. Mosley,C,23,0,0,0,0,4,6,0,5,5,0,0,0,2,4,4,TRUE,2010-01-09,Nicholls,A
O.J. Evans,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2010-01-09,Nicholls,A
M. McConathy,G,25,1,5,0,2,4,4,0,1,1,3,6,0,0,5,6,FALSE,2010-01-09,Nicholls,A
D. Jones,G,22,6,12,2,3,1,2,1,2,3,0,0,0,2,0,15,FALSE,2010-01-09,Nicholls,A
D. Knight,G,18,3,7,0,1,0,0,0,1,1,1,0,1,2,5,6,FALSE,2010-01-09,Nicholls,A
L. McConathy,G,10,2,2,1,1,2,2,0,2,2,4,0,0,2,1,7,FALSE,2010-01-09,Nicholls,A
S. Davis,G,14,0,1,0,0,0,0,1,1,2,3,0,0,2,0,0,FALSE,2010-01-09,Nicholls,A
D. Baker,G,31,3,6,1,3,7,10,1,1,2,0,1,0,2,1,14,FALSE,2010-01-09,Nicholls,A
TEAM,NA,NA,22,46,4,11,24,37,7,25,32,12,10,2,18,22,72,FALSE,2010-01-09,Nicholls,A
