player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
L. PotterL,C,28,4,9,0,0,2,4,6,4,10,1,1,4,4,4,10,TRUE,2010-02-13,St. Francis BKN,H
M. SahanM,C,22,5,8,0,0,0,1,1,3,4,0,0,0,2,1,10,TRUE,2010-02-13,St. Francis BKN,H
S. Zazuri,G,26,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,TRUE,2010-02-13,St. Francis BKN,H
C. Hassan,G,33,4,10,3,8,2,4,2,4,6,0,0,0,3,2,13,TRUE,2010-02-13,St. Francis BKN,H
J. Thompson,G,29,4,7,1,2,3,3,0,3,3,3,2,1,2,3,12,TRUE,2010-02-13,St. Francis BKN,H
S. Dulaire,F,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,2010-02-13,St. Francis BKN,H
J. MarshallJ,F,3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,FALSE,2010-02-13,St. Francis BKN,H
N. GreenbackerN,C,11,3,5,0,0,2,2,1,2,3,1,1,0,2,2,8,FALSE,2010-02-13,St. Francis BKN,H
C. Hardy,G,24,1,5,0,1,2,2,0,2,2,3,1,0,0,1,4,FALSE,2010-02-13,St. Francis BKN,H
R. Litke,G,22,2,7,1,4,0,0,0,3,3,1,3,0,0,1,5,FALSE,2010-02-13,St. Francis BKN,H
TEAM,NA,NA,23,54,5,15,11,16,13,28,41,10,9,6,15,15,62,FALSE,2010-02-13,St. Francis BKN,H
