player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Rossiter,F,34,4,8,0,0,2,3,1,8,9,1,0,1,1,5,10,TRUE,2010-02-20,Butler,A
A. Franklin,F,26,2,7,0,0,3,6,1,2,3,1,0,0,2,3,7,TRUE,2010-02-20,Butler,A
E. UbilesE,F,31,2,11,0,3,0,0,1,2,3,2,0,1,2,2,4,TRUE,2010-02-20,Butler,A
R. Moore,G,35,0,9,0,5,1,3,2,1,3,4,5,0,3,1,1,TRUE,2010-02-20,Butler,A
C. Jackson,G,35,9,15,2,5,4,4,0,5,5,1,2,0,1,2,24,TRUE,2010-02-20,Butler,A
S. Priestley,F,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,3,FALSE,2010-02-20,Butler,A
O. Wignot,F,12,0,1,0,0,0,0,1,1,2,0,0,2,0,1,0,FALSE,2010-02-20,Butler,A
O.D. Anosike,F,15,2,3,0,0,0,0,3,0,3,0,1,0,1,3,4,FALSE,2010-02-20,Butler,A
D. Martens,F,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2010-02-20,Butler,A
K. Griffin,G,9,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,FALSE,2010-02-20,Butler,A
J. Breeden,G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2010-02-20,Butler,A
TEAM,NA,NA,20,59,2,13,11,17,11,21,32,10,8,4,11,18,53,FALSE,2010-02-20,Butler,A
