player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Tabet,C,12,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,TRUE,2010-01-07,Western Kentucky,H
M. Brock,G,40,5,13,0,0,7,8,4,6,10,3,3,0,1,1,17,TRUE,2010-01-07,Western Kentucky,H
A. Cooks,G,42,5,11,1,3,2,4,1,2,3,2,0,0,2,4,13,TRUE,2010-01-07,Western Kentucky,H
T. Williams,G,41,7,17,1,5,3,3,1,6,7,3,1,0,3,2,18,TRUE,2010-01-07,Western Kentucky,H
B. Sherrer,G,24,2,6,0,2,0,0,0,0,0,0,1,0,3,5,4,TRUE,2010-01-07,Western Kentucky,H
D. Hersey,F,17,1,1,0,0,0,0,2,0,2,0,0,0,0,1,2,FALSE,2010-01-07,Western Kentucky,H
J. Carter,F,2,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,FALSE,2010-01-07,Western Kentucky,H
G. RedusG,F,15,1,4,1,2,2,2,1,1,2,0,3,1,3,3,5,FALSE,2010-01-07,Western Kentucky,H
L. WatsonL,F,26,2,7,1,2,0,2,3,6,9,1,0,0,3,0,5,FALSE,2010-01-07,Western Kentucky,H
P. Tabet,C,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2010-01-07,Western Kentucky,H
TEAM,NA,NA,23,61,4,14,14,19,18,24,42,9,9,1,16,17,64,FALSE,2010-01-07,Western Kentucky,H
